"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"2332","m-xylene degradation (anaerobic)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2333","maackiain conjugates interconversion","Activation/Inactivation/Interconversion (53 instances)","Flavonoid Biosynthesis (128 instances)","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA
"2334","Macrolide Antibiotic Biosynthesis (13 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2335","Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA,NA
"2336","magnoflorine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"2337","malate/L-aspartate shuttle pathway","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"2338","malonate decarboxylase activation","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2339","Malonate Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2340","malonate degradation I (biotin-independent)","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"2341","malonate degradation II (biotin-dependent)","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"2342","maltose degradation","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"2343","Mandelate Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2344","mandelate degradation I","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"2345","mandelate degradation to acetyl-CoA","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"2346","Manganese Oxidation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2347","manganese oxidation I","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"2348","manganese oxidation II","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"2349","mangrove triterpenoid biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2350","mannitol biosynthesis","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"2351","mannitol cycle","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"2352","mannitol degradation I","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"2353","mannitol degradation II","Sugar Derivative Degradation (56 instances)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA
"2354","mannojirimycin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2355","mannosylfructose biosynthesis","Carbohydrate Biosynthesis (228 instances)",NA,NA,NA,NA,NA,NA
"2356","Mannosylglucosylglycerate Biosynthesis (2 instances)","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2357","mannosylglucosylglycerate biosynthesis I","Organic Solute Biosynthesis (25 instances)",NA,NA,NA,NA,NA,NA
"2358","mannosylglucosylglycerate biosynthesis II","Organic Solute Biosynthesis (25 instances)",NA,NA,NA,NA,NA,NA
"2359","Mannosylglycerate Biosynthesis (2 instances)","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2360","mannosylglycerate biosynthesis I","Organic Solute Biosynthesis (25 instances)",NA,NA,NA,NA,NA,NA
"2361","mannosylglycerate biosynthesis II","Organic Solute Biosynthesis (25 instances)",NA,NA,NA,NA,NA,NA
"2362","marneral biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2363","matairesinol biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2364","maysin biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"2365","medicarpin conjugates interconversion","Activation/Inactivation/Interconversion (53 instances)","Flavonoid Biosynthesis (128 instances)","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA
"2366","megalomicin A biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"2367","melamine degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"2368","Melatonin Degradation (4 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2369","melatonin degradation I","Hormone Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"2370","melatonin degradation II","Hormone Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"2371","melatonin degradation III","Hormone Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"2372","meleagrin biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2373","melibiose degradation","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"2374","menaquinol-10 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2375","menaquinol-11 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2376","menaquinol-12 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2377","menaquinol-13 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2378","menaquinol-4 biosynthesis I","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2379","menaquinol-4 biosynthesis II","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2380","menaquinol-6 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2381","menaquinol-7 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2382","menaquinol-8 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2383","menaquinol-9 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"2384","Menaquinol Biosynthesis (20 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2385","menthol biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2386","mercaptosuccinate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2387","Mercury Detoxification (1 instances)",NA,NA,NA,NA,NA,NA,NA
"2388","meso-butanediol biosynthesis I","Other Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"2389","meso-butanediol biosynthesis II","Other Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"2390","meta cleavage pathway of aromatic compounds","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"2391","Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA,NA
"2392","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA,NA
"2393","methane oxidation to methanol (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2394","methane oxidation to methanol I","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2395","methane oxidation to methanol II","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2396","methanesulfonate degradation","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"2397","Methanobacterium thermoautotrophicum biosynthetic metabolism",NA,NA,NA,NA,NA,NA,NA
"2398","methanofuran biosynthesis","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2399","Methanogenesis (15 instances)","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2400","methanogenesis from acetate","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2401","methanogenesis from dimethylamine","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2402","methanogenesis from dimethylsulfide","Anaerobic Respiration (40 instances)","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA
"2403","methanogenesis from glycine betaine","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2404","methanogenesis from H2 and CO2","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2405","methanogenesis from methanethiol","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2406","methanogenesis from methanol","Degradation/Utilization/Assimilation (1104 instances)","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA
"2407","methanogenesis from methoxylated aromatic compounds","Degradation/Utilization/Assimilation (1104 instances)","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA
"2408","methanogenesis from methylamine","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2409","methanogenesis from methylthiopropanoate","Anaerobic Respiration (40 instances)","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA
"2410","methanogenesis from tetramethylammonium","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2411","methanogenesis from trimethylamine","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2412","methanol and methylamine oxidation to formaldehyde","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2413","Methanol Oxidation (5 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2414","methanol oxidation to carbon dioxide","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2415","methanol oxidation to formaldehyde I","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2416","methanol oxidation to formaldehyde II","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2417","methanol oxidation to formaldehyde III","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2418","methanol oxidation to formaldehyde IV","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"2419","methiin metabolism","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2420","methoxylated aromatic compound degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2421","methoxylated aromatic compound degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2422","methyl-coenzyme M oxidation to CO2","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2423","methyl-coenzyme M reduction to methane","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"2424","methyl indole-3-acetate interconversion","Plant Hormone Biosynthesis (37 instances)","Activation/Inactivation/Interconversion (53 instances)",NA,NA,NA,NA,NA
"2425","methyl ketone biosynthesis (engineered)",NA,NA,NA,NA,NA,NA,NA
"2426","methyl parathion degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2427","methyl phomopsenoate biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2428","methyl tert-butyl ether degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2429","Methylamine Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2430","methylamine degradation I","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"2431","methylamine degradation II","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"2432","Methylarsonous Acid Detoxification (3 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"2433","methylarsonous acid detoxification I","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"2434","methylarsonous acid detoxification II","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"2435","methylarsonous acid detoxification III","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"2436","methylaspartate cycle",NA,NA,NA,NA,NA,NA,NA
"2437","methylbutenol biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2438","methylerythritol phosphate pathway I","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"2439","methylerythritol phosphate pathway II","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"2440","Methylerythritol Phosphate Pathways (2 instances)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2441","methylgallate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2442","methylglyoxal degradation I","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2443","methylglyoxal degradation II","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2444","methylglyoxal degradation III","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2445","methylglyoxal degradation IV","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2446","methylglyoxal degradation V","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2447","methylglyoxal degradation VI","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2448","methylglyoxal degradation VII","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA
"2449","methylglyoxal degradation VIII","Degradation/Utilization/Assimilation (1104 instances)","Aldehyde Degradation (11 instances)","Detoxification (65 instances)",NA,NA,NA,NA
"2450","Methylglyoxal Detoxification (8 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2451","methylhalides biosynthesis (plants)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2452","methylphosphonate biosynthesis","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"2453","Methylphosphonate Degradation (3 instances)","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"2454","methylphosphonate degradation I","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"2455","methylphosphonate degradation II","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"2456","methylphosphonate degradation III","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"2457","methylquercetin biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"2458","methylsalicylate biosynthesis","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"2459","methylsalicylate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Phenolic Compound Degradation (27 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA
"2460","Methylthiopropanoate Degradation (2 instances)","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"2461","methylthiopropanoate degradation I (cleavage)","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA,NA
"2462","methylthiopropanonate degradation II (demethylation)","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA,NA
"2463","methylwyosine biosynthesis","Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA
"2464","methymycin, neomethymycin and novamethymycin biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"2465","mevalonate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2466","mevalonate pathway I (eukaryotes and bacteria)","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"2467","mevalonate pathway II (haloarchaea)","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"2468","mevalonate pathway III (Thermoplasma)","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"2469","mevalonate pathway IV (archaea)","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"2470","Mevalonate Pathways (4 instances)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2471","microcin B17 biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2472","mimosine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2473","mineralocorticoid biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2474","mithramycin biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2475","mitochondrial L-carnitine shuttle","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2476","mitochondrial NADPH production (yeast)","Electron Carrier Biosynthesis (99 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA
"2477","mitomycin biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2478","mixed acid fermentation","Fermentation (81 instances)","Fermentation of Pyruvate (37 instances)","Fermentation to Alcohols (17 instances)",NA,NA,NA,NA
"2479","Modification of Amino Acid Within Proteins (4 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2480","Molybdenum-Containing Cofactor Biosynthesis (12 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2481","molybdenum cofactor biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2482","molybdenum cofactor sulfulylation (eukaryotes)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2483","molybdopterin biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2484","momilactone A biosynthesis","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"2485","mono-trans, poly-cis decaprenyl phosphate biosynthesis","Carrier Biosynthesis (137 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"2486","monoacylglycerol metabolism (yeast)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2487","monoacylsucrose biosynthesis (Solanum)","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"2488","monolignol glucosides biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2489","monoterpene biosynthesis",NA,"Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA
"2490","Monoterpenoid Biosynthesis (24 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2491","morphine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"2492","mRNA capping I","Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA
"2493","mRNA capping II","Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA
"2494","mucin core 1 and core 2 O-glycosylation","Glycan Biosynthesis (99 instances)","Glycan Biosynthesis (99 instances)","Protein Modification (41 instances)",NA,NA,NA,NA
"2495","mucin core 3 and core 4 O-glycosylation","Glycan Biosynthesis (99 instances)","Glycan Biosynthesis (99 instances)","Protein Modification (41 instances)",NA,NA,NA,NA
"2496","mupirocin biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2497","muropeptide degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2498","mycinamicin biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"2499","mycobacterial sulfolipid biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2500","mycocyclosin biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2501","mycofactocin biosynthesis","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2502","mycolate biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"2503","mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA
"2504","mycothiol-mediated detoxification",NA,NA,NA,NA,NA,NA,NA
"2505","mycothiol biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2506","mycothiol oxidation","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2507","myo-, chiro- and scyllo-inositol degradation","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"2508","myo-inositol biosynthesis","Sugar Alcohol Biosynthesis (22 instances)",NA,NA,NA,NA,NA,NA
"2509","myo-inositol degradation I","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"2510","myo-inositol degradation II","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"2511","myricetin gentiobioside biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"2512","myxol-2' fucoside biosynthesis","Carotenoid Biosynthesis (43 instances)","Tetraterpenoid Biosynthesis (38 instances)",NA,NA,NA,NA,NA
"2513","N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"2514","N-acetyl-D-galactosamine degradation","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"2515","N-acetylglucosamine degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"2516","N-acetylglucosamine degradation I","Amine and Polyamine Degradation (62 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"2517","N-acetylglucosamine degradation II","Amine and Polyamine Degradation (62 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"2518","N-acetylglutaminylglutamine amide biosynthesis","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2519","N-Acetylneuraminate and N-Acetylmannosamine Degradation (2 instances)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"2520","N-acetylneuraminate and N-acetylmannosamine degradation I","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"2521","N-acetylneuraminate and N-acetylmannosamine degradation II","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"2522","N-cyclopropylmelamine degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"2523","N-end rule pathway I (prokaryotic)",NA,"Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA
"2524","N-end rule pathway II (prokaryotic)",NA,"Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA
"2525","N-glucosylnicotinate metabolism","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2526","N-hydroxy-L-pipecolate biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2527","N-methyl-Delta1-pyrrolinium cation biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2528","N-methylanthraniloyl-beta-D-glucopyranose biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2529","N-methylpyrrolidone degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2530","N10-formyl-tetrahydrofolate biosynthesis","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"2531","N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis","Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA
"2532","NAD Biosynthesis (12 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Electron Carrier Biosynthesis (99 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2533","NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2534","NAD biosynthesis III (from nicotinamide)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2535","NAD de novo biosynthesis I (from aspartate)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2536","NAD de novo biosynthesis II (from tryptophan)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2537","NAD de novo biosynthesis IV (anaerobic)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2538","NAD Metabolism (19 instances)","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
"2539","NAD phosphorylation and dephosphorylation","Electron Carrier Biosynthesis (99 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA
"2540","NAD phosphorylation and transhydrogenation","Electron Carrier Biosynthesis (99 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA
"2541","NAD salvage (plants)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2542","NAD salvage pathway I (PNC VI cycle)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2543","NAD salvage pathway II (PNC IV cycle)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2544","NAD salvage pathway III (to nicotinamide riboside)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2545","NAD salvage pathway IV (from nicotinamide riboside)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2546","NAD salvage pathway V (PNC V cycle)","NAD Metabolism (19 instances)","Enzyme Cofactor Biosynthesis (137 instances)","NAD Metabolism (19 instances)",NA,NA,NA,NA
"2547","NAD(P)/NADPH interconversion","Activation/Inactivation/Interconversion (53 instances)","Electron Carrier Biosynthesis (99 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2548","NADH repair (eukaryotes)",NA,NA,NA,NA,NA,NA,NA
"2549","NADH repair (prokaryotes)",NA,NA,NA,NA,NA,NA,NA
"2550","NADH to cytochrome bd oxidase electron transfer I","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA
"2551","NADH to cytochrome bd oxidase electron transfer II","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA
"2552","NADH to cytochrome bo oxidase electron transfer I","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA
"2553","NADH to cytochrome bo oxidase electron transfer II","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA
"2554","NADH to dimethyl sulfoxide electron transfer","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA
