"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"2311","long-chain fatty acid activation",NA,NA,NA,NA,NA,NA,NA
"2312","long-chain polyamine biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2313","long chain fatty acid ester synthesis (engineered)",NA,NA,NA,NA,NA,NA,NA
"2314","lotaustralin biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2315","lotaustralin degradation","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,NA,NA,NA,NA,NA
"2316","lovastatin biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2317","lupanine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2318","lupeol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2319","lupinate biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"2320","lupulone and humulone biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2321","lutein biosynthesis","Terpenoid Biosynthesis (203 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA
"2322","luteolin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2323","luteolin glycosides biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2324","luteolin triglucuronide biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2325","luteolin triglucuronide degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2326","luteolinidin 5-O-glucoside biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2327","lychnose and isolychnose biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2328","lycopadiene biosynthesis","Biosynthesis (1993 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"2329","Lycopene Biosynthesis (2 instances)","Terpenoid Biosynthesis (203 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA
"2330","lyngbyatoxin biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2331","m-cresol degradation",NA,NA,NA,NA,NA,NA,NA
"2332","m-xylene degradation (anaerobic)",NA,NA,NA,NA,NA,NA,NA
"2333","maackiain conjugates interconversion",NA,"Phenylpropanoid Derivative Biosynthesis (211 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA
"2334","Macrolide Antibiotic Biosynthesis (13 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2335","Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA,NA
"2336","magnoflorine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2337","malate/L-aspartate shuttle pathway",NA,NA,NA,NA,NA,NA,NA
"2338","malonate decarboxylase activation","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2339","Malonate Degradation (2 instances)",NA,NA,NA,NA,NA,NA,NA
"2340","malonate degradation I (biotin-independent)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2341","malonate degradation II (biotin-dependent)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2342","maltose degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2343","Mandelate Degradation (2 instances)",NA,NA,NA,NA,NA,NA,NA
"2344","mandelate degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2345","mandelate degradation to acetyl-CoA","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2346","Manganese Oxidation (2 instances)",NA,NA,NA,NA,NA,NA,NA
"2347","manganese oxidation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2348","manganese oxidation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2349","mangrove triterpenoid biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2350","mannitol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2351","mannitol cycle","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"2352","mannitol degradation I","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"2353","mannitol degradation II","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"2354","mannojirimycin biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2355","mannosylfructose biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2356","Mannosylglucosylglycerate Biosynthesis (2 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2357","mannosylglucosylglycerate biosynthesis I","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2358","mannosylglucosylglycerate biosynthesis II","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2359","Mannosylglycerate Biosynthesis (2 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2360","mannosylglycerate biosynthesis I","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2361","mannosylglycerate biosynthesis II","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"2362","marneral biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2363","matairesinol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2364","maysin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2365","medicarpin conjugates interconversion",NA,"Phenylpropanoid Derivative Biosynthesis (211 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA
"2366","megalomicin A biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2367","melamine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2368","Melatonin Degradation (4 instances)",NA,NA,NA,NA,NA,NA,NA
"2369","melatonin degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2370","melatonin degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2371","melatonin degradation III","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2372","meleagrin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2373","melibiose degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2374","menaquinol-10 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2375","menaquinol-11 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2376","menaquinol-12 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2377","menaquinol-13 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2378","menaquinol-4 biosynthesis I","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2379","menaquinol-4 biosynthesis II","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2380","menaquinol-6 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2381","menaquinol-7 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2382","menaquinol-8 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2383","menaquinol-9 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"2384","Menaquinol Biosynthesis (20 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2385","menthol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2386","mercaptosuccinate degradation",NA,NA,NA,NA,NA,NA,NA
"2387","Mercury Detoxification (1 instances)",NA,NA,NA,NA,NA,NA,NA
"2388","meso-butanediol biosynthesis I","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2389","meso-butanediol biosynthesis II","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2390","meta cleavage pathway of aromatic compounds","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2391","Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA,NA
"2392","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA,NA
"2393","methane oxidation to methanol (3 instances)",NA,NA,NA,NA,NA,NA,NA
"2394","methane oxidation to methanol I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2395","methane oxidation to methanol II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2396","methanesulfonate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2397","Methanobacterium thermoautotrophicum biosynthetic metabolism",NA,NA,NA,NA,NA,NA,NA
"2398","methanofuran biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2399","Methanogenesis (15 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"2400","methanogenesis from acetate","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2401","methanogenesis from dimethylamine","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2402","methanogenesis from dimethylsulfide","Respiration (65 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"2403","methanogenesis from glycine betaine","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2404","methanogenesis from H2 and CO2","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2405","methanogenesis from methanethiol","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2406","methanogenesis from methanol",NA,"Respiration (65 instances)",NA,NA,NA,NA,NA
"2407","methanogenesis from methoxylated aromatic compounds",NA,"Respiration (65 instances)",NA,NA,NA,NA,NA
"2408","methanogenesis from methylamine","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2409","methanogenesis from methylthiopropanoate","Respiration (65 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"2410","methanogenesis from tetramethylammonium","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2411","methanogenesis from trimethylamine","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2412","methanol and methylamine oxidation to formaldehyde","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2413","Methanol Oxidation (5 instances)",NA,NA,NA,NA,NA,NA,NA
"2414","methanol oxidation to carbon dioxide",NA,NA,NA,NA,NA,NA,NA
"2415","methanol oxidation to formaldehyde I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2416","methanol oxidation to formaldehyde II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2417","methanol oxidation to formaldehyde III","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2418","methanol oxidation to formaldehyde IV","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2419","methiin metabolism","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2420","methoxylated aromatic compound degradation I",NA,NA,NA,NA,NA,NA,NA
"2421","methoxylated aromatic compound degradation II",NA,NA,NA,NA,NA,NA,NA
"2422","methyl-coenzyme M oxidation to CO2","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2423","methyl-coenzyme M reduction to methane","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"2424","methyl indole-3-acetate interconversion","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"2425","methyl ketone biosynthesis (engineered)",NA,NA,NA,NA,NA,NA,NA
"2426","methyl parathion degradation",NA,NA,NA,NA,NA,NA,NA
"2427","methyl phomopsenoate biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2428","methyl tert-butyl ether degradation",NA,NA,NA,NA,NA,NA,NA
"2429","Methylamine Degradation (2 instances)",NA,NA,NA,NA,NA,NA,NA
"2430","methylamine degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2431","methylamine degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2432","Methylarsonous Acid Detoxification (3 instances)",NA,NA,NA,NA,NA,NA,NA
"2433","methylarsonous acid detoxification I","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"2434","methylarsonous acid detoxification II","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"2435","methylarsonous acid detoxification III","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"2436","methylaspartate cycle",NA,NA,NA,NA,NA,NA,NA
"2437","methylbutenol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2438","methylerythritol phosphate pathway I","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2439","methylerythritol phosphate pathway II","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2440","Methylerythritol Phosphate Pathways (2 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2441","methylgallate degradation",NA,NA,NA,NA,NA,NA,NA
"2442","methylglyoxal degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2443","methylglyoxal degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2444","methylglyoxal degradation III","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2445","methylglyoxal degradation IV","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2446","methylglyoxal degradation V","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2447","methylglyoxal degradation VI","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2448","methylglyoxal degradation VII","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2449","methylglyoxal degradation VIII",NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"2450","Methylglyoxal Detoxification (8 instances)",NA,NA,NA,NA,NA,NA,NA
"2451","methylhalides biosynthesis (plants)",NA,NA,NA,NA,NA,NA,NA
"2452","methylphosphonate biosynthesis","Phosphorus Compound Metabolism (19 instances)",NA,NA,NA,NA,NA,NA
"2453","Methylphosphonate Degradation (3 instances)","Phosphorus Compound Metabolism (19 instances)",NA,NA,NA,NA,NA,NA
"2454","methylphosphonate degradation I","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"2455","methylphosphonate degradation II","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"2456","methylphosphonate degradation III","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"2457","methylquercetin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2458","methylsalicylate biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2459","methylsalicylate degradation",NA,NA,"Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA
"2460","Methylthiopropanoate Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2461","methylthiopropanoate degradation I (cleavage)","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"2462","methylthiopropanonate degradation II (demethylation)","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"2463","methylwyosine biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2464","methymycin, neomethymycin and novamethymycin biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2465","mevalonate degradation",NA,NA,NA,NA,NA,NA,NA
"2466","mevalonate pathway I (eukaryotes and bacteria)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2467","mevalonate pathway II (haloarchaea)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2468","mevalonate pathway III (Thermoplasma)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2469","mevalonate pathway IV (archaea)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"2470","Mevalonate Pathways (4 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"2471","microcin B17 biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2472","mimosine biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2473","mineralocorticoid biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2474","mithramycin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2475","mitochondrial L-carnitine shuttle",NA,NA,NA,NA,NA,NA,NA
"2476","mitochondrial NADPH production (yeast)","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
"2477","mitomycin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2478","mixed acid fermentation","Generation of Precursor Metabolites and Energy (240 instances)","Fermentation (81 instances)","Fermentation (81 instances)",NA,NA,NA,NA
"2479","Modification of Amino Acid Within Proteins (4 instances)",NA,NA,NA,NA,NA,NA,NA
"2480","Molybdenum-Containing Cofactor Biosynthesis (12 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2481","molybdenum cofactor biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2482","molybdenum cofactor sulfulylation (eukaryotes)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2483","molybdopterin biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2484","momilactone A biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2485","mono-trans, poly-cis decaprenyl phosphate biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2486","monoacylglycerol metabolism (yeast)",NA,NA,NA,NA,NA,NA,NA
"2487","monoacylsucrose biosynthesis (Solanum)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2488","monolignol glucosides biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2489","monoterpene biosynthesis",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"2490","Monoterpenoid Biosynthesis (24 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2491","morphine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"2492","mRNA capping I",NA,NA,NA,NA,NA,NA,NA
"2493","mRNA capping II",NA,NA,NA,NA,NA,NA,NA
"2494","mucin core 1 and core 2 O-glycosylation","Carbohydrate Biosynthesis (228 instances)","Glycan Pathways (121 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"2495","mucin core 3 and core 4 O-glycosylation","Carbohydrate Biosynthesis (228 instances)","Glycan Pathways (121 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"2496","mupirocin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2497","muropeptide degradation",NA,NA,NA,NA,NA,NA,NA
"2498","mycinamicin biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"2499","mycobacterial sulfolipid biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2500","mycocyclosin biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2501","mycofactocin biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"2502","mycolate biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2503","mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2504","mycothiol-mediated detoxification",NA,NA,NA,NA,NA,NA,NA
"2505","mycothiol biosynthesis","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2506","mycothiol oxidation","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2507","myo-, chiro- and scyllo-inositol degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"2508","myo-inositol biosynthesis","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"2509","myo-inositol degradation I","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"2510","myo-inositol degradation II","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"2511","myricetin gentiobioside biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2512","myxol-2' fucoside biosynthesis","Terpenoid Biosynthesis (203 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA
"2513","N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"2514","N-acetyl-D-galactosamine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2515","N-acetylglucosamine degradation (2 instances)",NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"2516","N-acetylglucosamine degradation I","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"2517","N-acetylglucosamine degradation II","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"2518","N-acetylglutaminylglutamine amide biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"2519","N-Acetylneuraminate and N-Acetylmannosamine Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2520","N-acetylneuraminate and N-acetylmannosamine degradation I","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"2521","N-acetylneuraminate and N-acetylmannosamine degradation II","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"2522","N-cyclopropylmelamine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"2523","N-end rule pathway I (prokaryotic)",NA,NA,NA,NA,NA,NA,NA
"2524","N-end rule pathway II (prokaryotic)",NA,NA,NA,NA,NA,NA,NA
"2525","N-glucosylnicotinate metabolism","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2526","N-hydroxy-L-pipecolate biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2527","N-methyl-Delta1-pyrrolinium cation biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2528","N-methylanthraniloyl-beta-D-glucopyranose biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2529","N-methylpyrrolidone degradation",NA,NA,NA,NA,NA,NA,NA
"2530","N10-formyl-tetrahydrofolate biosynthesis","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"2531","N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis",NA,NA,NA,NA,NA,NA,NA
"2532","NAD Biosynthesis (12 instances)","Biosynthesis (1993 instances)","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA
"2533","NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2534","NAD biosynthesis III (from nicotinamide)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2535","NAD de novo biosynthesis I (from aspartate)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2536","NAD de novo biosynthesis II (from tryptophan)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2537","NAD de novo biosynthesis IV (anaerobic)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2538","NAD Metabolism (19 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"2539","NAD phosphorylation and dephosphorylation","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
"2540","NAD phosphorylation and transhydrogenation","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
"2541","NAD salvage (plants)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2542","NAD salvage pathway I (PNC VI cycle)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2543","NAD salvage pathway II (PNC IV cycle)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2544","NAD salvage pathway III (to nicotinamide riboside)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
"2545","NAD salvage pathway IV (from nicotinamide riboside)","Electron Carrier Biosynthesis (99 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA
