L1 = Terminal Pathway,Splay,L2,L3,L4
Escherichia coli serotype O:104 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:107 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:111/Salmonella enterica serotype O:35 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:117 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:127 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:128 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:149/Shigella boydii serotype O1 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:15 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:152 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:157/Salmonella enterica serotype O:30 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:169 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:177 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:183/Shigella boydii serotype O:10 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:1B/Salmonella enterica serotype O:42 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:2 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:21/Salmonella enterica serotype O:38 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:49 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:50 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:51/Salmonella enterica serotype O:57 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:52 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:55/Salmonella enterica serotype O:50 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:56 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:7 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:71/Salmonella enterica serotype O:28ac O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
"Escherichia coli serotype O:77/Salmonella enterica serotype O:6,14 O antigen biosynthesis",L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:8 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:85/Salmonella enterica serotype O:17 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:86 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:9 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Escherichia coli serotype O:9a O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
glycogen degradation I,L2D,Glycogen Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
glycogen degradation II,L2D,Glycogen Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
glycosaminoglycan-protein linkage region biosynthesis,L2D,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
"hexitol fermentation to lactate, formate, ethanol and acetate",L2D,Pyruvate Fermentation to Ethanol (7 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
homogalacturonan biosynthesis,L2D,Primary Cell Wall (3 instances),Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances)
homogalacturonan degradation,L2D,Pectin Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
L-alanine degradation VI (reductive Stickland reaction),L2D,Superpathways (382 instances),NA,NA
L-glutamate and L-glutamine biosynthesis,L2D,Superpathways (382 instances),NA,NA
L-glutamate degradation V (via hydroxyglutarate),L2D,L-glutamate Degradation (10 instances),Proteinogenic Amino Acid Degradation (113 instances),Amino Acid Degradation (127 instances)
L-lysine fermentation to acetate and butanoate,L2D,L-lysine Degradation (13 instances),Proteinogenic Amino Acid Degradation (113 instances),Amino Acid Degradation (127 instances)
lipid A-core biosynthesis (E. coli K-12),L2D,Lipid A-core Biosynthesis (4 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
lipid A-core biosynthesis (P. gingivalis),L2D,Lipid A-core Biosynthesis (4 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
lipid A-core biosynthesis (Salmonella),L2D,Lipid A-core Biosynthesis (4 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
methylsalicylate degradation,L2D,Phenylpropanoid Derivative Degradation (10 instances),Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances)
NAD de novo biosynthesis II (from tryptophan),L2D,Superpathways (382 instances),NA,NA
nitrifier denitrification,L2D,Superpathways (382 instances),NA,NA
O-Antigen Biosynthesis (45 instances),L2D,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
pectin degradation I,L2D,Pectin Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
Porphyromonas gingivalis O-LPS antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
protein N-glycosylation (bacterial),L2D,Protein Glycosylation (22 instances),Protein Modification (41 instances),Macromolecule Modification (64 instances)
protein N-glycosylation initial phase (eukaryotic),L2D,Protein Glycosylation (22 instances),Protein Modification (41 instances),Macromolecule Modification (64 instances)
protein O-glycosylation (Neisseria),L2D,Protein Glycosylation (22 instances),Protein Modification (41 instances),Macromolecule Modification (64 instances)
pyruvate fermentation to acetate and (S)-lactate I,L2D,pyruvate fermentation to lactate (4 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate and alanine,L2D,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate and lactate II,L2D,pyruvate fermentation to lactate (4 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate I,L2D,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate III,L2D,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate IV,L2D,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate V,L2D,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate VI,L2D,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate VII,L2D,Superpathways (382 instances),NA,NA
Salmonella enterica serotype O:13 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:18 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:2 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
"Salmonella enterica serotype O:3,10 O antigen biosynthesis",L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:39 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:4 O antigen biosynthesis (group B1),L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:54 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
"Salmonella enterica serotype O:6,7 O antigen biosynthesis",L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:8 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Salmonella enterica serotype O:9 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
"Salmonella enterica serotype O:9,46 O antigen biosynthesis",L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
"Salmonella enterica serotype O:9,46,27 O antigen biosynthesis",L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
Shigella boydii serotype 6 O antigen biosynthesis,L2D,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
starch degradation I,L2D,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
superpathway of chondroitin sulfate biosynthesis,L2D,Superpathways (382 instances),NA,NA
superpathway of dermatan sulfate biosynthesis,L2D,Superpathways (382 instances),NA,NA
superpathway of enterobacterial common antigen biosynthesis,L2D,Superpathways (382 instances),NA,NA
superpathway of heparan sulfate biosynthesis,L2D,Superpathways (382 instances),NA,NA
superpathway of L-alanine fermentation (Stickland reaction),L2D,Fermentation to Propanoate (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis,L2D,Superpathways (382 instances),NA,NA
superpathway of NAD biosynthesis in eukaryotes,L2D,Superpathways (382 instances),NA,NA
superpathway of seleno-compound metabolism,L2D,Superpathways (382 instances),NA,NA
superpathway of sulfur metabolism (Desulfocapsa sulfoexigens),L2D,Thiosulfate Disproportionation (5 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),L2D,Superpathways (382 instances),NA,NA
terminal O-glycans residues modification (via type 2 precursor disaccharide),L2D,Superpathways (382 instances),NA,NA
xylogalacturonan biosynthesis,L2D,Primary Cell Wall (3 instances),Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances)
xyloglucan degradation I (endoglucanase),L2D,Xyloglucan Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
cellulose biosynthesis,L2E,Secondary Cell Wall (3 instances),Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances)
cellulose degradation I (cellulosome),L2E,Glycan Degradation (11 instances),Glycan Pathways (121 instances),NA
chondroitin sulfate degradation (metazoa),L2E,Glycosaminoglycan Degradation (7 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
dermatan sulfate degradation (metazoa),L2E,Glycosaminoglycan Degradation (7 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
glycogen degradation I,L2E,Glycogen Degradation (3 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
glycogen degradation II,L2E,Glycogen Degradation (3 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
glycosaminoglycan-protein linkage region biosynthesis,L2E,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
"hexitol fermentation to lactate, formate, ethanol and acetate",L2E,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Alcohols (17 instances),Fermentation (81 instances)
homogalacturonan degradation,L2E,Pectin Degradation (3 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
pectin degradation I,L2E,Pectin Degradation (3 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
pyruvate fermentation to acetate and (S)-lactate I,L2E,pyruvate fermentation to lactate (4 instances),Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
pyruvate fermentation to acetate and lactate II,L2E,pyruvate fermentation to lactate (4 instances),Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
starch degradation I,L2E,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
superpathway of L-alanine fermentation (Stickland reaction),L2E,Superpathways (382 instances),NA,NA
xyloglucan degradation I (endoglucanase),L2E,Xyloglucan Degradation (3 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
glycosaminoglycan-protein linkage region biosynthesis,L2F,Protein Glycosylation (22 instances),Protein Modification (41 instances),Macromolecule Modification (64 instances)
"hexitol fermentation to lactate, formate, ethanol and acetate",L2F,Sugar Alcohol Degradation (20 instances),Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances)
pyruvate fermentation to acetate and (S)-lactate I,L2F,Superpathways (382 instances),NA,NA
pyruvate fermentation to acetate and lactate II,L2F,Superpathways (382 instances),NA,NA
"hexitol fermentation to lactate, formate, ethanol and acetate",L2G,Superpathways (382 instances),NA,NA
(-)-4'-demethyl-epipodophyllotoxin biosynthesis,L2A,Lignan Biosynthesis (13 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
(-)-camphor biosynthesis,L2A,Camphor Biosynthesis (2 instances),Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances)
(-)-camphor degradation,L2A,Camphor Degradation (2 instances),Terpenoid Degradation (22 instances),Secondary Metabolite Degradation (127 instances)
(-)-dehydrodiconiferyl alcohol degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
(-)-glycinol biosynthesis,L2A,Isoflavonoid Biosynthesis (31 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
(-)-maackiain biosynthesis,L2A,Isoflavonoid Biosynthesis (31 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
(-)-medicarpin biosynthesis,L2A,Isoflavonoid Biosynthesis (31 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
(-)-microperfuranone biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
(+)-camphor biosynthesis,L2A,Camphor Biosynthesis (2 instances),Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances)
(+)-camphor degradation,L2A,Camphor Degradation (2 instances),Terpenoid Degradation (22 instances),Secondary Metabolite Degradation (127 instances)
(+)-pisatin biosynthesis,L2A,Isoflavonoid Biosynthesis (31 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
(+)-secoisolariciresinol diglucoside biosynthesis,L2A,Lignan Biosynthesis (13 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
"(1,3)-beta-D-xylan degradation",L2A,Xylan Degradation (2 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
"(1'S,5'S)-averufin biosynthesis",L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
(2-trimethylamino)ethylphosphonate degradation,L2A,Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances)
"(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis",L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)",L2A,Sesquiterpenoid Biosynthesis (41 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I",L2A,"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)",Sesquiterpenoid Biosynthesis (41 instances),Terpenoid Biosynthesis (203 instances)
"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II",L2A,"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)",Sesquiterpenoid Biosynthesis (41 instances),Terpenoid Biosynthesis (203 instances)
(4R)-carveol and (4R)-dihydrocarveol degradation,L2A,Carveol Degradation (2 instances),Terpenoid Degradation (22 instances),Secondary Metabolite Degradation (127 instances)
(4R)-carvone biosynthesis,L2A,Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
(4S)-carveol and (4S)-dihydrocarveol degradation,L2A,Carveol Degradation (2 instances),Terpenoid Degradation (22 instances),Secondary Metabolite Degradation (127 instances)
(4S)-carvone biosynthesis,L2A,Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)",L2A,Polyunsaturated Fatty Acid Biosynthesis (29 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)",L2A,Polyunsaturated Fatty Acid Biosynthesis (29 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
(5R)-carbapenem carboxylate biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
(5Z)-dodecenoate Biosynthesis (2 instances),L2A,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
(5Z)-dodecenoate biosynthesis I,L2A,(5Z)-dodecenoate Biosynthesis (2 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
(5Z)-dodecenoate biosynthesis II,L2A,(5Z)-dodecenoate Biosynthesis (2 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
(5Z)-icosenoate biosynthesis,L2A,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis",L2A,Polyunsaturated Fatty Acid Biosynthesis (29 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
"(8E,10E)-dodeca-8,10-dienol biosynthesis",L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
(9Z)-tricosene biosynthesis,L2A,Alkene Biosynthesis (4 instances),Olefin Biosynthesis (6 instances),Carbohydrate Biosynthesis (228 instances)
(aminomethyl)phosphonate degradation,L2A,Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances)
"(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis",L2A,Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
(Kdo)2-lipid A biosynthesis I (Brucella),L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
"(R,R)-butanediol biosynthesis",L2A,Butanediol Biosynthesis (6 instances),Other Biosynthesis (18 instances),Biosynthesis (1993 instances)
"(R,R)-butanediol degradation",L2A,"2,3-Butanediol Degradation (2 instances)",Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances)
(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered),L2A,Storage Compound Biosynthesis (5 instances),Biosynthesis (1993 instances),NA
(R)-canadine biosynthesis,L2A,Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
(R)-cysteate degradation,L2A,Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
"(S,S)-butanediol biosynthesis",L2A,Butanediol Biosynthesis (6 instances),Other Biosynthesis (18 instances),Biosynthesis (1993 instances)
"(S,S)-butanediol degradation",L2A,"2,3-Butanediol Degradation (2 instances)",Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances)
"(S)-lactate fermentation to propanoate, acetate and hydrogen",L2A,Fermentation to Propanoate (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
(S)-Malate Degradation (2 instances),L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
(S)-reticuline biosynthesis (2 instances),L2A,Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
(S)-reticuline biosynthesis I,L2A,(S)-reticuline biosynthesis (2 instances),Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances),Alkaloid Biosynthesis (89 instances)
(S)-reticuline biosynthesis II,L2A,(S)-reticuline biosynthesis (2 instances),Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances),Alkaloid Biosynthesis (89 instances)
(Z)-butanethial-S-oxide biosynthesis,L2A,Sulfur-Containing Secondary Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
(Z)-phenylmethanethial S-oxide biosynthesis,L2A,Sulfur-Containing Secondary Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
[2Fe-2S] iron-sulfur cluster biosynthesis,L2A,Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Biosynthesis (1993 instances)
1-butanol autotrophic biosynthesis (engineered),L2A,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
1-chloro-2-nitrobenzene degradation,L2A,Dinitrotoluene Degradation (3 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
1-tuberculosinyladenosine biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
"1,2-dichloroethane degradation",L2A,Chlorinated Compound Degradation (44 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"1,2-propanediol biosynthesis from lactate (engineered)",L2A,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
"1,3-dimethylbenzene degradation to 3-methylbenzoate",L2A,Dimethylbenzene Degradation (2 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"1,3-propanediol biosynthesis (engineered)",L2A,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
"1,4-Dihydroxy-2-Naphthoate Biosynthesis (1 instances)",L2A,Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
"1,4-dihydroxy-6-naphthoate biosynthesis (2 instances)",L2A,Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
"1,4-dihydroxy-6-naphthoate biosynthesis I",L2A,"1,4-dihydroxy-6-naphthoate biosynthesis (2 instances)",Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances)
"1,4-dihydroxy-6-naphthoate biosynthesis II",L2A,"1,4-dihydroxy-6-naphthoate biosynthesis (2 instances)",Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances)
"1,4-dimethylbenzene degradation to 4-methylbenzoate",L2A,Dimethylbenzene Degradation (2 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"1,5-anhydrofructose degradation",L2A,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
"1,8-cineole degradation",L2A,Terpenoid Degradation (22 instances),Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances)
10-cis-heptadecenoyl-CoA degradation (yeast),L2A,Fatty Acid Degradation (20 instances),Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances)
10-methylstearate biosynthesis,L2A,Branched Fatty Acid Biosynthesis (5 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
"10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)",L2A,Fatty Acid Degradation (20 instances),Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances)
"10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)",L2A,Fatty Acid Degradation (20 instances),Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances)
