"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"2976","anandamide biosynthesis I","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Anandamide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"2977","anandamide biosynthesis II","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Anandamide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"2978","anandamide degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Fatty Acid and Lipid Degradation (57 instances)",NA,NA,NA,NA,NA,NA
"2979","anandamide lipoxygenation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Fatty Acid and Lipid Degradation (57 instances)",NA,NA,NA,NA,NA,NA
"2980","anditomin biosynthesis","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2981","androgen biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"2982","Androstenedione Degradation (2 instances)","Fatty Acid and Lipid Degradation (57 instances)","Degradation/Utilization/Assimilation (1104 instances)","Steroid Degradation (19 instances)",NA,NA,NA,NA,NA,NA
"2983","androstenedione degradation I (aerobic)","Steroid Degradation (19 instances)","Fatty Acid and Lipid Degradation (57 instances)","Androstenedione Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"2984","androstenedione degradation II (anaerobic)","Steroid Degradation (19 instances)","Fatty Acid and Lipid Degradation (57 instances)","Androstenedione Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"2985","anguibactin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"2986","Anhydromuropeptide Recycling (2 instances)","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"2987","anhydromuropeptides recycling I","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Anhydromuropeptide Recycling (2 instances)",NA,NA,NA,NA,NA,NA
"2988","anhydromuropeptides recycling II","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Anhydromuropeptide Recycling (2 instances)",NA,NA,NA,NA,NA,NA
"2989","aniline degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"2990","anteiso-branched-chain fatty acid biosynthesis","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Branched Fatty Acid Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"2991","anthocyanidin modification (Arabidopsis)","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"2992","anthocyanin biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"2993","Anthocyanin Biosynthesis (28 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"2994","anthocyanin biosynthesis (delphinidin 3-O-glucoside)","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"2995","anthocyanin biosynthesis (pelargonidin 3-O-glucoside)","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"2996","anthranilate degradation I (aerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"2997","anthranilate degradation II (aerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"2998","anthranilate degradation III (anaerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"2999","anthranilate degradation IV (aerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"3000","Antibiotic Biosynthesis (123 instances)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"3001","Antibiotic degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"3002","Antibiotic Resistance (8 instances)",NA,NA,"Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"3003","apicidin biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Cyclopeptide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3004","apicidin F biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Cyclopeptide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3005","apigenin glycosides biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavone Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3006","apigeninidin 5-O-glucoside biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"3007","arabidopyrone biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"3008","Arachidonate Biosynthesis (5 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"3009","arachidonate biosynthesis I (6-desaturase, lower eukaryotes)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3010","arachidonate biosynthesis II (bacteria)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3011","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3012","arachidonate biosynthesis V (8-detaturase, mammals)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3013","archaeosine biosynthesis I","Macromolecule Modification (64 instances)",NA,"Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"3014","archaeosine biosynthesis II","Macromolecule Modification (64 instances)",NA,"Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"3015","arctigenin and isoarctigenin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Lignan Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"3016","arginine dependent acid resistance","Detoxification (65 instances)",NA,"Acid Resistance (4 instances)",NA,NA,NA,NA,NA,NA
"3017","arginomycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3018","Aroma Compound Biosynthesis (13 instances)","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"3019","aromatic biogenic amine degradation (bacteria)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"3020","Aromatic Compound Biosynthesis (51 instances)",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"3021","Aromatic Compound Degradation (227 instances)",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"3022","aromatic polyketides biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3023","Arsenate Detoxification (5 instances)","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"3024","arsenate detoxification I","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"3025","arsenate detoxification II","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"3026","arsenate detoxification III","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"3027","arsenate detoxification IV (mycothiol)","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"3028","arsenate detoxification V","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"3029","arsenate reduction (respiratory)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"3030","Arsenic Compound Detoxification (19 instances)",NA,NA,"Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"3031","arsenic detoxification (mammals)","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"3032","arsenic detoxification (plants)","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"3033","arsenic detoxification (yeast)","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"3034","arsenite methylation (bacterial)","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"3035","arsonoacetate degradation","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"3036","artemisinin and arteannuin B biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)","Sesquiterpene Lactone Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"3037","ascorbate glutathione cycle","Detoxification (65 instances)",NA,"Reactive Oxygen Species Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"3038","ascorbate recycling (cytosolic)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Cofactor, Prosthetic Group, Electron Carrier Degradation (13 instances)",NA,NA,NA,NA,NA,NA
"3039","aspartate superpathway",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"3040","asperlicin E biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"3041","aspirin triggered resolvin D biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"3042","aspirin triggered resolvin E biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"3043","aspyridone A biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3044","Assimilatory Sulfate Reduction (4 instances)","Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA,NA
"3045","assimilatory sulfate reduction II","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"3046","assimilatory sulfate reduction III","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"3047","assimilatory sulfate reduction IV","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"3048","asterrate biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Quinone Secondary Metabolite Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"3049","ATP biosynthesis",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"3050","Atrazine Degradation (4 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","s-Triazine Degredation (7 instances)",NA,NA,NA,NA,NA,NA
"3051","atrazine degradation I (aerobic)","s-Triazine Degredation (7 instances)","Aromatic Compound Degradation (227 instances)","Atrazine Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"3052","atrazine degradation II","s-Triazine Degredation (7 instances)","Aromatic Compound Degradation (227 instances)","Atrazine Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"3053","atrazine degradation III","s-Triazine Degredation (7 instances)","Aromatic Compound Degradation (227 instances)","Atrazine Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"3054","atromentin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Quinone Secondary Metabolite Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"3055","aucuparin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"3056","aurachin A, B, C and D biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Aurachin Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3057","Aurachin Biosynthesis (2 instances)","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3058","aurachin RE biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Aurachin Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3059","aureobasidin A biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3060","aureothin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3061","aurofusarin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3062","aurone biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Aurone Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3063","Aurone Biosynthesis (2 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"3064","autoinducer AI-1 biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3065","autoinducer AI-2 biosynthesis I","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3066","autoinducer AI-2 biosynthesis II (Vibrio)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3067","autoinducer AI-2 degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"3068","Autoinducer Biosynthesis (4 instances)","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"3069","autoinducer CAI-1 biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3070","Autotrophic CO2 Fixation (12 instances)","C1 Compound Utilization and Assimilation (39 instances)","Degradation/Utilization/Assimilation (1104 instances)","CO2 Fixation (15 instances)",NA,NA,NA,NA,NA,NA
"3071","Auxin Biosynthesis (7 instances)","Hormone Biosynthesis (68 instances)","Secondary Metabolite Biosynthesis (911 instances)","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"3072","avenacin A-1 biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"3073","avenacin A-2 biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"3074","avenanthramide biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"3075","bacillithiol biosynthesis","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Reductant Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"3076","bacilysin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3077","bacimethrin and bacimethrin pyrophosphate biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3078","backdoor pathway of androgen biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"3079","bacterial bioluminescence",NA,NA,"Bioluminescence (7 instances)",NA,NA,NA,NA,NA,NA
"3080","bacteriochlorophyll a biosynthesis","Porphyrin Compound Biosynthesis (37 instances)","Tetrapyrrole Biosynthesis (39 instances)","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3081","bacteriochlorophyll b biosynthesis","Porphyrin Compound Biosynthesis (37 instances)","Tetrapyrrole Biosynthesis (39 instances)","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3082","bacteriochlorophyll c biosynthesis","Porphyrin Compound Biosynthesis (37 instances)","Tetrapyrrole Biosynthesis (39 instances)","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3083","bacteriochlorophyll d biosynthesis","Porphyrin Compound Biosynthesis (37 instances)","Tetrapyrrole Biosynthesis (39 instances)","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3084","bacteriochlorophyll e biosynthesis","Porphyrin Compound Biosynthesis (37 instances)","Tetrapyrrole Biosynthesis (39 instances)","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3085","bacterioruberin biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C50 Carotenoid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3086","baicalein metabolism","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavone Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"3087","barbaloin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3088","baruol biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"3089","bassianin and desmethylbassianin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3090","baumannoferrin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"3091","benzene degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3092","benzenesulfonate degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Sulfoaromatic Compound Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"3093","Benzenoids Biosynthesis (1 instances)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"3094","benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Cobamide de novo Biosynthesis (21 instances)","Cobamide Biosynthesis (28 instances)","Adenosylcobamide Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"3095","Benzoate Biosynthesis (3 instances)","Biosynthesis (1993 instances)",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"3096","benzoate biosynthesis II (CoA-independent, non-beta-oxidative)","Aromatic Compound Biosynthesis (51 instances)","Biosynthesis (1993 instances)","Benzoate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"3097","Benzoate Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3098","benzoate degradation I (aerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Benzoate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3099","benzoate degradation II (aerobic and anaerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Benzoate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3100","benzoyl-beta-D-glucopyranose biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"3101","benzoyl-CoA biosynthesis","Biosynthesis (1993 instances)",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"3102","Benzoyl-CoA Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3103","benzoyl-CoA degradation I (aerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Benzoyl-CoA Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3104","benzoyl-CoA degradation II (anaerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Benzoyl-CoA Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3105","benzoyl-CoA degradation III (anaerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Benzoyl-CoA Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3106","benzoylanthranilate biosynthesis","Biosynthesis (1993 instances)",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"3107","berberine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"3108","Bergamotene Biosynthesis (2 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"3109","bergamotene biosynthesis I","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)","Bergamotene Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3110","bergamotene biosynthesis II","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)","Bergamotene Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3111","beta Alanine Biosynthesis (5 instances)","Amino Acid Biosynthesis (124 instances)","Biosynthesis (1993 instances)","Other Amino Acid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"3112","beta myrcene degradation","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"3113","beta-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"3114","beta-alanine biosynthesis I","Other Amino Acid Biosynthesis (24 instances)","Amino Acid Biosynthesis (124 instances)","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3115","beta-alanine biosynthesis II","Other Amino Acid Biosynthesis (24 instances)","Amino Acid Biosynthesis (124 instances)","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3116","beta-alanine biosynthesis III","Other Amino Acid Biosynthesis (24 instances)","Amino Acid Biosynthesis (124 instances)","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3117","beta-alanine biosynthesis IV","Other Amino Acid Biosynthesis (24 instances)","Amino Acid Biosynthesis (124 instances)","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3118","beta-Alanine Degradation (3 instances)","Amino Acid Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Other Amino Acid Degradation (14 instances)",NA,NA,NA,NA,NA,NA
"3119","beta-alanine degradation I","Other Amino Acid Degradation (14 instances)","Amino Acid Degradation (127 instances)","beta-Alanine Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3120","beta-alanine degradation II","Other Amino Acid Degradation (14 instances)","Amino Acid Degradation (127 instances)","beta-Alanine Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3121","beta-alanine degradation III","Other Amino Acid Degradation (14 instances)","Amino Acid Degradation (127 instances)","beta-Alanine Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3122","beta-carboline biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Indole Alkaloid Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
