Pathways,Site,coef,L2,L3
pyrimidine deoxyribonucleotides de novo biosynthesis I,Ileum-Mucosa,-0.05804234755,Metabolic Clusters (69 instances),NA
pyrimidine deoxyribonucleotides de novo biosynthesis II,Ileum-Mucosa,-0.08417620958,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine ribonucleosides salvage,Ileum-Mucosa,-0.07439723653,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotide phosphorylation,Ileum-Mucosa,-0.0681857533,Metabolic Clusters (69 instances),NA
superpathway of pyrimidine deoxyribonucleoside salvage,Ileum-Mucosa,-0.07938624323,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine nucleobases salvage,Ileum-Mucosa,-0.09729694077,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
adenosine ribonucleotides de novo biosynthesis,Ileum-Mucosa,-0.09859706186,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,Ileum-Mucosa,-0.08570777046,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
guanosine ribonucleotides de novo biosynthesis,Ileum-Mucosa,-0.1028253824,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
guanosine deoxyribonucleotides de novo biosynthesis II,Ileum-Mucosa,-0.08570777046,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis I,Ileum-Mucosa,-0.06538236149,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis I,Ileum-Mucosa,-0.09240013508,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis III,Ileum-Mucosa,-0.09356669989,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,Ileum-Mucosa,-0.354608697,UDP-sugar Biosynthesis (31 instances),Sugar Nucleotide Biosynthesis (92 instances)
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",Ileum-Mucosa,-0.2116075181,"cob(II)yrinate a,c-diamide biosynthesis (2 instances)",Enzyme Cofactor Biosynthesis (137 instances)
taxadiene biosynthesis (engineered),Ileum-Mucosa,-0.1972377203,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
L-arginine biosynthesis IV (archaea),Ileum-Mucosa,-0.1732550726,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Ileum-Mucosa,-0.180571895,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
methylerythritol phosphate pathway II,Ileum-Mucosa,-0.1828949611,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
gondoate biosynthesis (anaerobic),Ileum-Mucosa,-0.09406908882,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
superpathway of purine nucleotides de novo biosynthesis I,Ileum-Mucosa,-0.08212347194,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
mevalonate pathway I (eukaryotes and bacteria),Ileum-Mucosa,-0.08573479167,Mevalonate Pathways (4 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
purine ribonucleosides degradation,Ileum-Mucosa,-0.1067569798,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of purine deoxyribonucleosides degradation,Ileum-Mucosa,-0.09046760385,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
superpathway of pyrimidine deoxyribonucleosides degrad,Ileum-Mucosa,-0.08828568614,Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
CDP-diacylglycerol biosynthesis II,Ileum-Mucosa,-0.09839412141,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
peptidoglycan maturation (meso-diaminopimelate containing),Ileum-Mucosa,-0.06359432792,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
superpathway of pyrimidine ribonucleotides de novo biosynthesis,Ileum-Mucosa,-0.08066092869,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Ileum-Mucosa,-0.07835959324,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
aspartate superpathway,Ileum-Mucosa,-0.1467826136,Superpathways (382 instances),NA
nitrate reduction VI (assimilatory),Ileum-Mucosa,-0.4187020983,Nitrate Reduction (11 instances),Nitrogen Compound Metabolism (33 instances)
phosphatidylglycerol biosynthesis I (plastidic),Ileum-Mucosa,-0.09434945599,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis II (non-plastidic),Ileum-Mucosa,-0.09434945599,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
NAD salvage pathway I (PNC VI cycle),Ileum-Mucosa,-0.2159029525,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
NAD de novo biosynthesis I (from aspartate),Ileum-Mucosa,-0.1864182718,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
flavin biosynthesis I (bacteria and plants),Ileum-Mucosa,-0.1516135125,Flavin Biosynthesis (5 instances),Electron Carrier Biosynthesis (99 instances)
formaldehyde oxidation I,Ileum-Mucosa,-0.3552745913,Formaldehyde Oxidation (7 instances),C1 Compound Utilization and Assimilation (39 instances)
superpathway of L-serine and glycine biosynthesis I,Ileum-Mucosa,-0.1524756383,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,Ileum-Mucosa,-0.1662775351,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances)
superpathway of L-threonine biosynthesis,Ileum-Mucosa,-0.1044150356,L-threonine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
tRNA charging,Ileum-Mucosa,-0.1160842141,Aminoacyl-tRNA Charging (4 instances),Biosynthesis (1993 instances)
UDP-N-acetyl-D-glucosamine biosynthesis I,Ileum-Mucosa,-0.09769308539,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),UDP-sugar Biosynthesis (31 instances)
L-valine biosynthesis,Ileum-Mucosa,-0.1504449824,L-valine Biosynthesis (1 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
homolactic fermentation,Lumen,0,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
glycolysis III (from glucose),Lumen,0,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-arginine biosynthesis I (via L-ornithine),Lumen,0,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-arginine biosynthesis II (acetyl cycle),Lumen,0,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
chorismate biosynthesis I,Lumen,0,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
superpathway of L-aspartate and L-asparagine biosynthesis,Lumen,0,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of branched chain amino acid biosynthesis,Lumen,0,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
Calvin-Benson-Bassham cycle,Lumen,0,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances)
coenzyme A biosynthesis I (prokaryotic),Lumen,0,Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
superpathway of adenosylcobalamin salvage from cobinamide I,Lumen,0,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of aromatic amino acid biosynthesis,Lumen,0,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
L-lysine biosynthesis I,Lumen,0,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of purine nucleotides de novo biosynthesis II,Lumen,0,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
dTDP-beta-L-rhamnose biosynthesis,Lumen,0,dTDP-sugar Biosynthesis (22 instances),Sugar Nucleotide Biosynthesis (92 instances)
fatty acid elongation -- saturated,Lumen,0,Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
mixed acid fermentation,Lumen,0,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
superpathway of tetrahydrofolate biosynthesis and salvage,Lumen,0,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Lumen,0,Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
gluconeogenesis I,Lumen,0,Gluconeogenesis (3 instances),Sugar Biosynthesis (107 instances)
L-ornithine biosynthesis I,Lumen,0,L-Ornithine Biosynthesis (3 instances),Other Amino Acid Biosynthesis (24 instances)
glycogen degradation I,Lumen,0,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances)
glycogen biosynthesis I (from ADP-D-Glucose),Lumen,0,Glycogen and Starch Biosynthesis (4 instances),Polysaccharide Biosynthesis (73 instances)
glycolysis I (from glucose 6-phosphate),Lumen,0,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
superpathway of glycolysis and the Entner-Doudoroff pathway,Lumen,0,Generation of Precursor Metabolites and Energy (240 instances),NA
heme b biosynthesis II (oxygen-independent),Lumen,0,Heme b Biosynthesis (8 instances),Heme Biosynthesis (13 instances)
L-histidine biosynthesis,Lumen,0,L-histidine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis I (from threonine),Lumen,0,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
methylerythritol phosphate pathway I,Lumen,0,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
pentose phosphate pathway (non-oxidative branch) I,Lumen,0,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
O-antigen building blocks biosynthesis (E. coli),Lumen,0,Metabolic Clusters (69 instances),NA
heterolactic fermentation,Lumen,0,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
Bifidobacterium shunt,Lumen,0,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
acetylene degradation (anaerobic),Lumen,0,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Lumen,0,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of N-acetylneuraminate degradation,Lumen,0,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
pentose phosphate pathway,Lumen,0,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Lumen,0,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
superpathway of phospholipid biosynthesis I (bacteria),Lumen,0,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
polyisoprenoid biosynthesis (E. coli),Lumen,0,All-trans Polyprenyl Biosynthesis (13 instances),Polyprenyl Biosynthesis (18 instances)
formaldehyde assimilation II (assimilatory RuMP Cycle),Lumen,0,Formaldehyde Assimilation (3 instances),C1 Compound Utilization and Assimilation (39 instances)
L-lysine biosynthesis II,Lumen,0,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis III,Lumen,0,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-isoleucine biosynthesis I,Lumen,0,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis VI,Lumen,0,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
pyruvate fermentation to acetate and lactate II,Lumen,0,Pyruvate Fermentation to Acetate (11 instances),Fermentation to Acetate (21 instances)
L-isoleucine biosynthesis II,Lumen,0,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis III,Lumen,0,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis IV,Lumen,0,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Lumen,0,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
tetrapyrrole biosynthesis I (from glutamate),Lumen,0,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
tetrapyrrole biosynthesis II (from glycine),Lumen,0,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
glycolysis II (from fructose 6-phosphate),Lumen,0,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-glutamate and L-glutamine biosynthesis,Lumen,0,L-glutamate Biosynthesis (7 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Lumen,0,Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances)
CDP-diacylglycerol biosynthesis I,Lumen,0,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
UMP biosynthesis I,Lumen,0,UMP Biosynthesis (3 instances),Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
inosine 5'-phosphate degradation,Lumen,0,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Lumen,0,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Polyprenyl Biosynthesis (18 instances)
partial TCA cycle (obligate autotrophs),Lumen,0,TCA cycle (9 instances),Generation of Precursor Metabolites and Energy (240 instances)
cis-vaccenate biosynthesis,Lumen,0,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
5-aminoimidazole ribonucleotide biosynthesis I,Lumen,0,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis II,Lumen,0,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis I,Lumen,0,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis II,Lumen,0,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis II,Lumen,0,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Lumen,0,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
S-adenosyl-L-methionine salvage I,Lumen,0,S-adenosyl-L-methionine Biosynthesis (3 instances),Enzyme Cofactor Biosynthesis (137 instances)
chorismate biosynthesis from 3-dehydroquinate,Lumen,0,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
sucrose degradation III (sucrose invertase),Lumen,0,Sucrose Degradation (7 instances),Sugar Degradation (77 instances)
superpathway of adenosylcobalamin salvage from cobinamide II,Lumen,0,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Lumen,0,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
D-galactose degradation I (Leloir pathway),Lumen,0,Galactose Degradation (5 instances),Sugar Degradation (77 instances)
peptidoglycan biosynthesis III (mycobacteria),Lumen,0,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Lumen,0,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Lumen,0,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis IV (Enterococcus faecium),Lumen,0,Antibiotic Resistance (8 instances),Detoxification (65 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,Lumen,0,Metabolic Clusters (69 instances),NA
adenine and adenosine salvage III,Lumen,0,Adenine and Adenosine Salvage (6 instances),Purine Nucleotide Salvage (13 instances)
superpathway of tetrahydrofolate biosynthesis,Lumen,0,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
superpathway of L-phenylalanine biosynthesis,Lumen,0,L-phenylalanine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-tyrosine biosynthesis,Lumen,0,L-tyrosine Biosynthesis (5 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
queuosine biosynthesis I (de novo),Lumen,0,Queuosine Biosynthesis and Salvage (3 instances),Nucleic Acid Processing (21 instances)
starch degradation V,Lumen,0,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances)
pyruvate fermentation to isobutanol (engineered),Lumen,0,Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis I,Lumen,0,Metabolic Clusters (69 instances),NA
pyrimidine deoxyribonucleotides de novo biosynthesis II,Lumen,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine ribonucleosides salvage,Lumen,0,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotide phosphorylation,Lumen,0,Metabolic Clusters (69 instances),NA
superpathway of pyrimidine deoxyribonucleoside salvage,Lumen,0,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine nucleobases salvage,Lumen,0,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
adenosine ribonucleotides de novo biosynthesis,Lumen,0,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,Lumen,0,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
guanosine ribonucleotides de novo biosynthesis,Lumen,0,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
guanosine deoxyribonucleotides de novo biosynthesis II,Lumen,0,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis I,Lumen,0,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis I,Lumen,0,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis III,Lumen,0,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,Lumen,0,UDP-sugar Biosynthesis (31 instances),Sugar Nucleotide Biosynthesis (92 instances)
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",Lumen,0,"cob(II)yrinate a,c-diamide biosynthesis (2 instances)",Enzyme Cofactor Biosynthesis (137 instances)
taxadiene biosynthesis (engineered),Lumen,0,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
L-arginine biosynthesis IV (archaea),Lumen,0,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Lumen,0,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
methylerythritol phosphate pathway II,Lumen,0,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
gondoate biosynthesis (anaerobic),Lumen,0,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
superpathway of purine nucleotides de novo biosynthesis I,Lumen,0,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
mevalonate pathway I (eukaryotes and bacteria),Lumen,0,Mevalonate Pathways (4 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
purine ribonucleosides degradation,Lumen,0,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of purine deoxyribonucleosides degradation,Lumen,0,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
superpathway of pyrimidine deoxyribonucleosides degrad,Lumen,0,Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
CDP-diacylglycerol biosynthesis II,Lumen,0,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
peptidoglycan maturation (meso-diaminopimelate containing),Lumen,0,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
superpathway of pyrimidine ribonucleotides de novo biosynthesis,Lumen,0,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Lumen,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
aspartate superpathway,Lumen,0,Superpathways (382 instances),NA
nitrate reduction VI (assimilatory),Lumen,0,Nitrate Reduction (11 instances),Nitrogen Compound Metabolism (33 instances)
phosphatidylglycerol biosynthesis I (plastidic),Lumen,0,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis II (non-plastidic),Lumen,0,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
NAD salvage pathway I (PNC VI cycle),Lumen,0,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
NAD de novo biosynthesis I (from aspartate),Lumen,0,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
flavin biosynthesis I (bacteria and plants),Lumen,0,Flavin Biosynthesis (5 instances),Electron Carrier Biosynthesis (99 instances)
formaldehyde oxidation I,Lumen,0,Formaldehyde Oxidation (7 instances),C1 Compound Utilization and Assimilation (39 instances)
superpathway of L-serine and glycine biosynthesis I,Lumen,0,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,Lumen,0,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances)
superpathway of L-threonine biosynthesis,Lumen,0,L-threonine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
tRNA charging,Lumen,0,Aminoacyl-tRNA Charging (4 instances),Biosynthesis (1993 instances)
UDP-N-acetyl-D-glucosamine biosynthesis I,Lumen,0,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),UDP-sugar Biosynthesis (31 instances)
L-valine biosynthesis,Lumen,0,L-valine Biosynthesis (1 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
