"","value","coef","stderr","N","N.not.0","pval","qval","Pathways","L2","L2A","L2B","L2C","L3","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","X","Order","Terminal.Pathway","L1...Terminal.Pathway","L2.1","L2A.1","L2B.1","L2C.1","L3.1","L4","X.1","X.2","X.3","X.4","X.5","X.6","ID","Name","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Pathways","L2.2","L2A.2","L2B.2","L2C.2","L3.2"
"PWY-5509","Mucosal",-0.3174163834,0.04108036186,91,58,0.0000000058,0.000000106,"adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I","Adenosylcobamide Biosynthesis (13 instances)","","","","Cobamide de novo Biosynthesis (21 instances)","Mucosal",-0.2811819711,0.06439241936,86,52,0.0001285124239,0.0009080140117,"adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I","Adenosylcobamide Biosynthesis (13 instances)","","",NA,"Cobamide de novo Biosynthesis (21 instances)",NA,253,"superpathway of L-serine and glycine biosynthesis I","superpathway of L-serine and glycine biosynthesis I","Amino Acid Biosynthesis (124 instances)","",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Mucosal",-0.2926557578,0.06070690464,92,56,0.0000322,0.0002581146333,"adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I","Adenosylcobamide Biosynthesis (13 instances)","","","","Cobamide de novo Biosynthesis (21 instances)"
"PWY-5667","Mucosal",-0.1210799704,0.01774376004,91,91,0.0000000169,0.000000231,"CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)","Mucosal",-0.09839412141,0.01686778435,86,86,0.000000633,0.00000728,"CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol Biosynthesis (3 instances)","","",NA,"Phospholipid Biosynthesis (38 instances)",NA,257,"superpathway of L-tyrosine biosynthesis","superpathway of L-tyrosine biosynthesis","L-tyrosine Biosynthesis (5 instances)","",NA,NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)","Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA,"PWY-6628","superpathway of L-phenylalanine biosynthesis","Mucosal",-0.1128898028,0.0175047589,92,92,0.0000000564,0.000000878,"CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PWY-5686","Mucosal",-0.1290903704,0.0181604766,91,91,0.00000000628,0.000000108,"UMP biosynthesis I","UMP Biosynthesis (3 instances)","","","","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","Mucosal",-0.1071914815,0.01700834001,86,86,0.000000124,0.00000218,"UMP biosynthesis I","UMP Biosynthesis (3 instances)","","",NA,"Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)",NA,259,"superpathway of menaquinol-8 biosynthesis II","superpathway of menaquinol-8 biosynthesis II","Menaquinol Biosynthesis (20 instances)","",NA,NA,"Quinol and Quinone Biosynthesis (57 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA,"SER-GLYSYN-PWY","superpathway of L-serine and glycine biosynthesis I","Mucosal",-0.1331705727,0.01757521567,92,92,0.00000000112,0.0000000854,"UMP biosynthesis I","UMP Biosynthesis (3 instances)","","","","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)"
"PWY-5695","Mucosal",-0.1072031607,0.01592489865,91,91,0.0000000244,0.000000292,"inosine 5'-phosphate degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)","Mucosal",-0.09794241462,0.01642572344,86,86,0.000000382,0.00000489,"inosine 5'-phosphate degradation","Purine Nucleotide Degradation (16 instances)","","",NA,"Nucleoside and Nucleotide Degradation (40 instances)",NA,261,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,NA,"THRESYN-PWY","superpathway of L-threonine biosynthesis","Mucosal",-0.08742504651,0.02023250359,92,92,0.0000839,0.0006197289154,"inosine 5'-phosphate degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)"
"PWY-5910","Mucosal",-0.191134221,0.04319490069,91,83,0.0000564,0.0003733011712,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","","","","Polyprenyl Biosynthesis (18 instances)","Mucosal",-0.08944809185,0.02317911001,86,77,0.0003897314248,0.00250707827,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","",NA,"Terpenoid Biosynthesis (203 instances)",NA,263,"superpathway of N-acetylneuraminate degradation","superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-6630","superpathway of L-tyrosine biosynthesis","Mucosal",-0.2000536188,0.02668804479,92,82,0.00000000301,0.000000149,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","","","","Polyprenyl Biosynthesis (18 instances)"
"PWY-5913","Mucosal",-0.1794700756,0.03563250427,91,62,0.00000866,0.0000636,"partial TCA cycle (obligate autotrophs)","TCA cycle (9 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Mucosal",-0.2550071775,0.06799714023,86,56,0.0003483990541,0.002258044998,"partial TCA cycle (obligate autotrophs)","TCA cycle (9 instances)","","",NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,265,"superpathway of phospholipid biosynthesis I (bacteria)","superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","",NA,NA,"Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,"PWY-6263","superpathway of menaquinol-8 biosynthesis II","Mucosal",-0.1604384168,0.04702467144,92,63,0.001502192104,0.009793360928,"partial TCA cycle (obligate autotrophs)","TCA cycle (9 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"PWY-5973","Mucosal",-0.1158306342,0.01787289895,91,91,0.0000000575,0.000000606,"cis-vaccenate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)","Mucosal",-0.09516522956,0.01834600661,86,86,0.00000542,0.0000487,"cis-vaccenate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","","",NA,"Fatty Acid Biosynthesis (92 instances)",NA,267,"superpathway of polyamine biosynthesis I","superpathway of polyamine biosynthesis I","Amine and Polyamine Biosynthesis (38 instances)","",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","Mucosal",-0.1022653193,0.01786787021,92,92,0.00000071,0.00000747,"cis-vaccenate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)"
"PWY-6121","Mucosal",-0.1272374387,0.01711880829,91,91,0.00000000194,0.0000000446,"5-aminoimidazole ribonucleotide biosynthesis I","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.1075648329,0.01676807044,86,86,0.0000000895,0.00000179,"5-aminoimidazole ribonucleotide biosynthesis I","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,269,"superpathway of purine deoxyribonucleosides degradation","superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,NA,"POLYAMSYN-PWY","superpathway of polyamine biosynthesis I","Mucosal",-0.1241167653,0.01742929351,92,92,0.00000000542,0.000000175,"5-aminoimidazole ribonucleotide biosynthesis I","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6122","Mucosal",-0.1303980769,0.01792882051,91,91,0.00000000332,0.0000000659,"5-aminoimidazole ribonucleotide biosynthesis II","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.1108335012,0.01754943627,86,86,0.000000123,0.00000218,"5-aminoimidazole ribonucleotide biosynthesis II","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,271,"superpathway of purine nucleotides de novo biosynthesis I","superpathway of purine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","",NA,NA,"Purine Nucleotide Biosynthesis (33 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY0-1297","superpathway of purine deoxyribonucleosides degradation","Mucosal",-0.1280624278,0.01807019555,92,92,0.00000000611,0.000000183,"5-aminoimidazole ribonucleotide biosynthesis II","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6123","Mucosal",-0.1317868176,0.01858312475,91,91,0.00000000632,0.000000108,"inosine-5'-phosphate biosynthesis I","Inosine-5'-phosphate Biosynthesis (3 instances)","","","","Purine Riboucleotide De Novo Biosynthesis (5 instances)","Mucosal",-0.1119128033,0.01818217227,86,86,0.000000214,0.00000312,"inosine-5'-phosphate biosynthesis I","Inosine-5'-phosphate Biosynthesis (3 instances)","","",NA,"Purine Riboucleotide De Novo Biosynthesis (5 instances)",NA,273,"superpathway of purine nucleotides de novo biosynthesis II","superpathway of purine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","",NA,NA,"Purine Nucleotide Biosynthesis (33 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY-841","superpathway of purine nucleotides <i>de novo</i> biosynthesis I","Mucosal",-0.1298518302,0.01864974504,92,92,0.00000000942,0.000000264,"inosine-5'-phosphate biosynthesis I","Inosine-5'-phosphate Biosynthesis (3 instances)","","","","Purine Riboucleotide De Novo Biosynthesis (5 instances)"
"PWY-6125","Mucosal",-0.1002616,0.01803196676,91,91,0.00000138,0.0000113,"superpathway of guanosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.0702915952,0.01648460158,86,86,0.0001133583776,0.0008075613348,"superpathway of guanosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,275,"superpathway of pyrimidine deoxyribonucleoside salvage","superpathway of pyrimidine deoxyribonucleoside salvage","Pyrimidine Nucleotide Salvage (12 instances)","",NA,NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"DENOVOPURINE2-PWY","superpathway of purine nucleotides <i>de novo</i> biosynthesis II","Mucosal",-0.1085176622,0.01887321018,92,91,0.000000689,0.00000733,"superpathway of guanosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6126","Mucosal",-0.1172123589,0.01686925414,91,91,0.0000000112,0.000000175,"superpathway of adenosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.09412851164,0.0156920013,86,86,0.000000369,0.00000481,"superpathway of adenosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,277,"superpathway of pyrimidine deoxyribonucleosides degradation","superpathway of pyrimidine deoxyribonucleosides degradation","Pyrimidine Nucleotide Degradation (13 instances)","",NA,NA,"Nucleoside and Nucleotide Degradation (40 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,"PWY-7200","superpathway of pyrimidine deoxyribonucleoside salvage","Mucosal",-0.1136139635,0.01692466546,92,92,0.0000000227,0.000000529,"superpathway of adenosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6147","Mucosal",-0.1756406823,0.02919365684,91,80,0.000000303,0.00000279,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)","Mucosal",-0.1790380076,0.02500487398,86,74,0.00000000822,0.000000229,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","",NA,"Folate Biosynthesis (14 instances)",NA,279,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","",NA,NA,"2'-Deoxyribonucleotide Biosynthesis (11 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY0-1298","superpathway of pyrimidine deoxyribonucleosides degradation","Mucosal",-0.1606273114,0.03330568666,92,76,0.0000173,0.0001441385164,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)"
"PWY-6151","Mucosal",-0.1238823293,0.0196854168,91,91,0.000000103,0.00000103,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","","","","Enzyme Cofactor Biosynthesis (137 instances)","Mucosal",-0.1014911519,0.01755349676,86,86,0.000000758,0.00000849,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","","",NA,"Enzyme Cofactor Biosynthesis (137 instances)",NA,282,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","",NA,NA,"2'-Deoxyribonucleotide Biosynthesis (11 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY-7211","superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis","Mucosal",-0.1288866682,0.0197015657,92,92,0.0000000422,0.000000825,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","","","","Enzyme Cofactor Biosynthesis (137 instances)"
"PWY-6163","Mucosal",-0.2026247196,0.02390757327,91,83,0.0000000000653,0.00000000184,"chorismate biosynthesis from 3-dehydroquinate","Chorismate Biosynthesis (3 instances)","","","","Aromatic Compound Biosynthesis (51 instances)","Mucosal",-0.1805419378,0.02925244313,86,78,0.000000206,0.00000311,"chorismate biosynthesis from 3-dehydroquinate","Chorismate Biosynthesis (3 instances)","","",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,285,"superpathway of pyrimidine nucleobases salvage","superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","",NA,NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY0-166","superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)","Mucosal",-0.09960214289,0.02652665295,92,87,0.0004837730435,0.003307749021,"chorismate biosynthesis from 3-dehydroquinate","Chorismate Biosynthesis (3 instances)","","","","Aromatic Compound Biosynthesis (51 instances)"
"PWY-621","Mucosal",-0.1144760375,0.01747395792,91,91,0.0000000438,0.000000478,"sucrose degradation III (sucrose invertase)","Sucrose Degradation (7 instances)","","","","Sugar Degradation (77 instances)","Mucosal",-0.08679145601,0.01723626539,86,86,0.00000866,0.0000739,"sucrose degradation III (sucrose invertase)","Sucrose Degradation (7 instances)","","",NA,"Sugar Degradation (77 instances)",NA,287,"superpathway of pyrimidine ribonucleosides salvage","superpathway of pyrimidine ribonucleosides salvage","Pyrimidine Nucleotide Salvage (12 instances)","",NA,NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY-7208","superpathway of pyrimidine nucleobases salvage","Mucosal",-0.118277429,0.0162245842,92,92,0.00000000319,0.000000149,"sucrose degradation III (sucrose invertase)","Sucrose Degradation (7 instances)","","","","Sugar Degradation (77 instances)"
"PWY-6269","Mucosal",-0.3351234538,0.04397552892,91,58,0.00000000514,0.0000000956,"superpathway of adenosylcobalamin salvage from cobinamide II","Adenosylcobalamin Salvage from Cobinamide (5 instances)","","","","Cobinamide Salvage (7 instances)","Mucosal",-0.2720057233,0.05677220777,86,54,0.0000386,0.0002891051346,"superpathway of adenosylcobalamin salvage from cobinamide II","Adenosylcobalamin Salvage from Cobinamide (5 instances)","","",NA,"Cobinamide Salvage (7 instances)",NA,289,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","superpathway of pyrimidine ribonucleotides de novo biosynthesis","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","",NA,NA,"Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)","Pyrimidine Nucleotide Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA,"PWY-7196","superpathway of pyrimidine ribonucleosides salvage","Mucosal",-0.3095491024,0.05607971538,92,56,0.00000391,0.0000357,"superpathway of adenosylcobalamin salvage from cobinamide II","Adenosylcobalamin Salvage from Cobinamide (5 instances)","","","","Cobinamide Salvage (7 instances)"
"PWY-6277","Mucosal",-0.1303980769,0.01792882051,91,91,0.00000000332,0.0000000659,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.1108335012,0.01754943627,86,86,0.000000123,0.00000218,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,291,"superpathway of sulfate assimilation and cysteine biosynthesis","superpathway of sulfate assimilation and cysteine biosynthesis","Sulfur Compound Metabolism (87 instances)","",NA,NA,"Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,"PWY0-162","superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis","Mucosal",-0.1280624278,0.01807019555,92,92,0.00000000611,0.000000183,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6317","Mucosal",-0.1286146372,0.0182837748,91,91,0.00000000815,0.000000133,"D-galactose degradation I (Leloir pathway)","Galactose Degradation (5 instances)","","","","Sugar Degradation (77 instances)","Mucosal",-0.1033051325,0.01645433006,86,86,0.000000145,0.00000244,"D-galactose degradation I (Leloir pathway)","Galactose Degradation (5 instances)","","",NA,"Sugar Degradation (77 instances)",NA,293,"superpathway of tetrahydrofolate biosynthesis","superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","",NA,NA,"Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA,"SULFATE-CYS-PWY","superpathway of sulfate assimilation and cysteine biosynthesis","Mucosal",-0.1324787592,0.0175869052,92,92,0.00000000133,0.0000000896,"D-galactose degradation I (Leloir pathway)","Galactose Degradation (5 instances)","","","","Sugar Degradation (77 instances)"
"PWY-6385","Mucosal",-0.122482193,0.01851735624,91,91,0.0000000349,0.000000391,"peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)","Mucosal",-0.1001105865,0.01759589653,86,86,0.00000101,0.0000109,"peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","","",NA,"Cell Wall Biosynthesis (26 instances)",NA,296,"superpathway of tetrahydrofolate biosynthesis and salvage","superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","",NA,NA,"Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA,"PWY-6612","superpathway of tetrahydrofolate biosynthesis","Mucosal",-0.1165827914,0.01845424444,92,92,0.0000000889,0.00000121,"peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6386","Mucosal",-0.1239787855,0.01859555645,91,91,0.0000000287,0.000000329,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)","Mucosal",-0.102094253,0.01759274915,86,86,0.000000688,0.0000078,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","",NA,"Cell Wall Biosynthesis (26 instances)",NA,299,"superpathway of thiamine diphosphate biosynthesis I","superpathway of thiamine diphosphate biosynthesis I","Thiamine Biosynthesis (20 instances)","",NA,NA,"Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA,"FOLSYN-PWY","superpathway of tetrahydrofolate biosynthesis and salvage","Mucosal",-0.1176786237,0.01861973409,92,92,0.0000000877,0.00000121,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6387","Mucosal",-0.12295859,0.01828162538,91,91,0.0000000234,0.000000287,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)","Mucosal",-0.1009997173,0.01716026167,86,86,0.000000528,0.00000638,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","",NA,"Cell Wall Biosynthesis (26 instances)",NA,302,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","UDP-sugar Biosynthesis (31 instances)","",NA,NA,"Sugar Nucleotide Biosynthesis (92 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA,"THISYN-PWY","superpathway of thiamine diphosphate biosynthesis I","Mucosal",-0.1173996188,0.0183678497,92,92,0.0000000684,0.000000986,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6471","Mucosal",-0.1448201414,0.02659046335,91,89,0.0000019,0.0000151,"peptidoglycan biosynthesis IV (Enterococcus faecium)","Antibiotic Resistance (8 instances)","Peptidoglycan Biosynthesis (6 instances)","","","Detoxification (65 instances)","Mucosal",-0.1357642423,0.03601938498,86,82,0.0004634885354,0.002916256332,"peptidoglycan biosynthesis IV (Enterococcus faecium)","Antibiotic Resistance (8 instances)","Peptidoglycan Biosynthesis (6 instances)","",NA,"Detoxification (65 instances)",NA,307,"TCA cycle V (2-oxoglutarate synthase)","TCA cycle V (2-oxoglutarate synthase)","Reductive TCA Cycles (4 instances)","TCA cycle (9 instances)",NA,NA,"Autotrophic CO2 Fixation (12 instances)","CO2 Fixation (15 instances)",NA,NA,NA,NA,NA,NA,"TCA","TCA cycle I (prokaryotic)","Mucosal",-0.1644624429,0.0328171779,92,89,0.00000799,0.00007,"peptidoglycan biosynthesis IV (Enterococcus faecium)","Antibiotic Resistance (8 instances)","Peptidoglycan Biosynthesis (6 instances)","","","Detoxification (65 instances)"
"PWY-6545","Mucosal",-0.4686708569,0.09564177187,91,35,0.0000179,0.0001252382191,"pyrimidine deoxyribonucleotides de novo biosynthesis III","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","",NA,"Mucosal",-0.4486817671,0.1048186551,86,30,0.0001334112449,0.0009349633585,"pyrimidine deoxyribonucleotides de novo biosynthesis III","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","",NA,NA,NA,310,"tetrapyrrole biosynthesis II (from glycine)","tetrapyrrole biosynthesis II (from glycine)","Tetrapyrrole Biosynthesis (39 instances)","",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-5188","tetrapyrrole biosynthesis I (from glutamate)","Mucosal",-0.2119546997,0.06649122521,92,35,0.002943898237,0.01833939568,"pyrimidine deoxyribonucleotides de novo biosynthesis III","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","",NA
"PWY-6609","Mucosal",-0.1321581709,0.01864314895,91,91,0.00000000627,0.000000108,"adenine and adenosine salvage III","Adenine and Adenosine Salvage (6 instances)","","","","Purine Nucleotide Salvage (13 instances)","Mucosal",-0.1080162593,0.01779857125,86,86,0.000000286,0.00000392,"adenine and adenosine salvage III","Adenine and Adenosine Salvage (6 instances)","","",NA,"Purine Nucleotide Salvage (13 instances)",NA,311,"thiamine diphosphate salvage II","thiamine diphosphate salvage II","thiamine Diphosphate Salvage (7 instances)","",NA,NA,"Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA,"PWY-5189","tetrapyrrole biosynthesis II (from glycine)","Mucosal",-0.1203797755,0.01853602229,92,92,0.000000048,0.000000878,"adenine and adenosine salvage III","Adenine and Adenosine Salvage (6 instances)","","","","Purine Nucleotide Salvage (13 instances)"
