feature,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3,,Order,Terminal Pathway,L1 = Terminal Pathway,L2,L2A,L2B,L2C,L3,L4,,,,,,,ID,Name
PWY-6703,Mucosal,-0.2463949943,0.05787122513,86,50,0.0002605071629,0.00172736288,preQ0 biosynthesis,Secondary Metabolite Biosynthesis (911 instances),,,,Biosynthesis (1993 instances),,320,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),,,,,,,UDPNAGSYN-PWY,UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
PWY-6737,Mucosal,-0.1522094332,0.01674337288,86,86,1.76E-11,3.79E-09,starch degradation V,Starch Degradation (5 instances),,,,Polysaccharide Degradation (47 instances),,321,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),,,,,,,PWY-6387,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
PWY-6892,Mucosal,-0.2153236347,0.03718921767,86,59,1.13E-06,1.21E-05,thiazole component of thiamine diphosphate biosynthesis I,Thiazole Biosynthesis (4 instances),,,,Thiamine Biosynthesis (20 instances),,322,UMP biosynthesis I,UMP biosynthesis I,UMP Biosynthesis (3 instances),,,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),,,,,,,PWY-6386,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-6897,Mucosal,-0.2161172558,0.03252229221,86,60,5.62E-08,1.21E-06,thiamine diphosphate salvage II,thiamine Diphosphate Salvage (7 instances),,,,Thiamine Biosynthesis (20 instances),,323,urea cycle,urea cycle,Nitrogen Compound Metabolism (33 instances),,,,Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances),,,,,,,PWY-5686,UMP biosynthesis I
PWY-6969,Mucosal,-0.2209928473,0.03231138952,86,52,2.89E-08,6.93E-07,TCA cycle V (2-oxoglutarate synthase),Reductive TCA Cycles (4 instances),TCA cycle (9 instances),,,Autotrophic CO2 Fixation (12 instances),,,,,,,,,,,,,,,,,PWY-4984,urea cycle
PWY-7003,Mucosal,-0.4487523407,0.06868999194,86,8,4.25E-05,0.0003159197085,glycerol degradation to butanol,Fermentation to Alcohols (17 instances),,,,Fermentation (81 instances),,,,,,,,,,,,,,,,,,
PWY-7111,Mucosal,-0.1369409806,0.01640238415,86,86,1.74E-10,1.27E-08,pyruvate fermentation to isobutanol (engineered),Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),,,Fermentation (81 instances),,,,,,,,,,,,,,,,,,
PWY-7184,Mucosal,-0.05804234755,0.01874017189,86,86,0.003513550363,0.0180278596,pyrimidine deoxyribonucleotides de novo biosynthesis I,Metabolic Clusters (69 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,NA,,,,,,,,,,,,,,,,,,
PWY-7187,Mucosal,-0.08417620958,0.01695237552,86,86,1.23E-05,0.0001011342154,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances),,,,,,,,,,,,,,,,,,
PWY-7196,Mucosal,-0.07439723653,0.01646988532,86,86,4.96E-05,0.0003654810721,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),,,,,,,,,,,,,,,,,,
PWY-7197,Mucosal,-0.0681857533,0.01956360099,86,86,0.001185984959,0.006638435289,pyrimidine deoxyribonucleotide phosphorylation,Metabolic Clusters (69 instances),Pyrimidine Nucleotide Salvage (12 instances),,,NA,,,,,,,,,,,,,,,,,,
PWY-7199,Mucosal,-0.1047631046,0.03501161387,86,78,0.004489695017,0.02211495489,pyrimidine deoxyribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),,,,,,,,,,,,,,,,,,
PWY-7200,Mucosal,-0.07938624323,0.01898099726,86,86,0.0001400514535,0.0009657948234,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),,,,,,,,,,,,,,,,,,
PWY-7208,Mucosal,-0.09729694077,0.0166053377,86,86,5.69E-07,6.72E-06,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),,,,,,,,,,,,,,,,,,
PWY-7211,Mucosal,-0.1812481396,0.04661503368,86,33,0.0004810573903,0.002982239137,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances),,,,,,,,,,,,,,,,,,
PWY-7219,Mucosal,-0.09859706186,0.01643014175,86,86,3.58E-07,4.75E-06,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,,,,,,,,,,,,,,,
PWY-7220,Mucosal,-0.08570777046,0.01491027761,86,86,8.51E-07,9.28E-06,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),,,,,,,,,,,,,,,,,,
PWY-7221,Mucosal,-0.1028253824,0.0174931382,86,86,5.33E-07,6.38E-06,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,,,,,,,,,,,,,,,
PWY-7222,Mucosal,-0.08570777046,0.01491027761,86,86,8.51E-07,9.28E-06,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),,,,,,,,,,,,,,,,,,
PWY-7228,Mucosal,-0.06538236149,0.01705694739,86,86,0.0004236551094,0.002685225767,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,,,,,,,,,,,,,,,,,
PWY-7229,Mucosal,-0.09240013508,0.01549172426,86,86,4.14E-07,5.17E-06,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,,,,,,,,,,,,,,,,,
PWY-7234,Mucosal,-0.09356669989,0.01724067823,86,86,2.65E-06,2.49E-05,inosine-5'-phosphate biosynthesis III,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,,,,,,,,,,,,,,,
PWY-7242,Mucosal,-0.1387365542,0.03334267032,86,62,0.0001578881072,0.001080155146,D-fructuronate degradation,Sugar Acid Degradation (19 instances),,,,Carboxylate Degradation (101 instances),,,,,,,,,,,,,,,,,,
PWY-7323,Mucosal,-0.2058831365,0.04156309028,86,56,1.69E-05,0.0001351304558,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances),,,,,,,,,,,,,,,,,,
PWY-7328,Mucosal,-0.354608697,0.09603923807,86,20,0.0005776091039,0.003506331321,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,UDP-sugar Biosynthesis (31 instances),,,,Sugar Nucleotide Biosynthesis (92 instances),,,,,,,,,,,,,,,,,,
PWY-7377,Mucosal,-0.2116075181,0.07432804571,86,33,0.01058982292,0.04705374927,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,,Enzyme Cofactor Biosynthesis (137 instances),,,,,,,,,,,,,,,,,,
PWY-7392,Mucosal,-0.1972377203,0.03200200473,86,77,3.01E-08,7.02E-07,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,,,Terpenoid Biosynthesis (203 instances),,,,,,,,,,,,,,,,,,
PWY-7400,Mucosal,-0.1732550726,0.01840636904,86,83,3.94E-12,1.13E-09,L-arginine biosynthesis IV (archaea),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,,,,,,,,,,,,,,,,,
PWY-7539,Mucosal,-0.180571895,0.02700306677,86,73,3.76E-08,8.32E-07,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances),,,,,,,,,,,,,,,,,,
PWY-7560,Mucosal,-0.1828949611,0.02474195358,86,80,3.24E-09,9.98E-08,methylerythritol phosphate pathway II,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances),,,,,,,,,,,,,,,,,,
PWY-7663,Mucosal,-0.09406908882,0.01770603569,86,86,3.63E-06,3.33E-05,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances),,,,,,,,,,,,,,,,,,
PWY-841,Mucosal,-0.08212347194,0.01618722342,86,86,8.45E-06,7.29E-05,superpathway of purine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,,,,,,,,,,,,,,,,,
PWY-922,Mucosal,-0.08573479167,0.02838301163,86,72,0.004294928265,0.02127717336,mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways (4 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances),,,,,,,,,,,,,,,,,,
PWY0-1261,Mucosal,-0.1488782432,0.04218241151,86,43,0.0009788281435,0.005701012566,anhydromuropeptides recycling I,Anhydromuropeptide Recycling (2 instances),,,,Sugar Derivative Degradation (56 instances),,,,,,,,,,,,,,,,,,
PWY0-1296,Mucosal,-0.1067569798,0.01882280388,86,86,1.18E-06,1.24E-05,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances),,,,,,,,,,,,,,,,,,
PWY0-1297,Mucosal,-0.09046760385,0.01820357817,86,86,1.21E-05,0.0001003465731,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,,,Degradation/Utilization/Assimilation (1104 instances),,,,,,,,,,,,,,,,,,
PWY0-1298,Mucosal,-0.08828568614,0.01904700698,86,86,3.50E-05,0.0002649945297,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation (13 instances),,,,Nucleoside and Nucleotide Degradation (40 instances),,,,,,,,,,,,,,,,,,
PWY0-1319,Mucosal,-0.09839412141,0.01686778435,86,86,6.33E-07,7.28E-06,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances),,,,,,,,,,,,,,,,,,
PWY0-1586,Mucosal,-0.06359432792,0.01898976513,86,86,0.001677905588,0.009154143144,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances),,,,,,,,,,,,,,,,,,
PWY0-162,Mucosal,-0.08066092869,0.01617109063,86,86,1.12E-05,9.34E-05,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),,,,,,,,,,,,,,,,,,
PWY0-166,Mucosal,-0.07835959324,0.0167765496,86,86,3.18E-05,0.0002450174599,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances),,,,,,,,,,,,,,,,,,
PWY0-781,Mucosal,-0.1467826136,0.04549960294,86,37,0.002451756842,0.0129657325,aspartate superpathway,Superpathways (382 instances),,,,NA,,,,,,,,,,,,,,,,,,
PWY490-3,Mucosal,-0.4187020983,0.10981435,86,19,0.0009521062295,0.005583099114,nitrate reduction VI (assimilatory),Nitrate Reduction (11 instances),,,,Nitrogen Compound Metabolism (33 instances),,,,,,,,,,,,,,,,,,
PWY4FS-7,Mucosal,-0.09434945599,0.01722659428,86,86,2.18E-06,2.11E-05,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances),,,,,,,,,,,,,,,,,,
PWY4FS-8,Mucosal,-0.09434945599,0.01722659428,86,86,2.18E-06,2.11E-05,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances),,,,,,,,,,,,,,,,,,
PYRIDNUCSAL-PWY,Mucosal,-0.2159029525,0.03985310706,86,56,2.66E-06,2.49E-05,NAD salvage pathway I (PNC VI cycle),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances),,,,,,,,,,,,,,,,,,
PYRIDNUCSYN-PWY,Mucosal,-0.1864182718,0.02591846439,86,71,8.82E-09,2.38E-07,NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances),,,,,,,,,,,,,,,,,,
RIBOSYN2-PWY,Mucosal,-0.1516135125,0.02345959325,86,78,7.69E-08,1.58E-06,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis (5 instances),,,,Electron Carrier Biosynthesis (99 instances),,,,,,,,,,,,,,,,,,
RUMP-PWY,Mucosal,-0.3552745913,0.06652827142,86,51,3.60E-06,3.33E-05,formaldehyde oxidation I,Formaldehyde Oxidation (7 instances),Generation of Precursor Metabolites and Energy (240 instances),,,C1 Compound Utilization and Assimilation (39 instances),,,,,,,,,,,,,,,,,,
SER-GLYSYN-PWY,Mucosal,-0.1524756383,0.0185270044,86,83,2.33E-10,1.44E-08,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),,,,,,,,,,,,,,,,,,
SULFATE-CYS-PWY,Mucosal,-0.2589318425,0.09412951756,86,24,0.008116661589,0.03721575686,superpathway of sulfate assimilation and cysteine biosynthesis,Sulfur Compound Metabolism (87 instances),,,,Inorganic Nutrient Metabolism (142 instances),,,,,,,,,,,,,,,,,,
TCA,Mucosal,-0.2695381864,0.04648665351,86,43,1.98E-06,1.97E-05,TCA cycle I (prokaryotic),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,,,,,,,,,,,,,,,,,
TEICHOICACID-PWY,Mucosal,-0.1662775351,0.03400269953,86,64,1.67E-05,0.0001349128372,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,,,Cell Wall Biosynthesis (26 instances),,,,,,,,,,,,,,,,,,
THISYN-PWY,Mucosal,-0.2342184293,0.04581956871,86,56,9.86E-06,8.33E-05,superpathway of thiamine diphosphate biosynthesis I,Thiamine Biosynthesis (20 instances),,,,Enzyme Cofactor Biosynthesis (137 instances),,,,,,,,,,,,,,,,,,
THRESYN-PWY,Mucosal,-0.1044150356,0.0169649147,86,86,2.09E-07,3.11E-06,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,,,,,,,,,,,,,,,,,
TRNA-CHARGING-PWY,Mucosal,-0.1160842141,0.01638056482,86,86,5.37E-10,2.31E-08,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,,Biosynthesis (1993 instances),,,,,,,,,,,,,,,,,,
TRPSYN-PWY,Mucosal,-0.1792445484,0.02887266242,86,66,2.60E-07,3.61E-06,L-tryptophan biosynthesis,L-tryptophan Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,,,,,,,,,,,,,,,,,
UDPNAGSYN-PWY,Mucosal,-0.09769308539,0.01788868532,86,86,2.46E-06,2.36E-05,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,,UDP-sugar Biosynthesis (31 instances),,,,,,,,,,,,,,,,,,
VALSYN-PWY,Mucosal,-0.1504449824,0.01837112876,86,85,2.89E-10,1.56E-08,L-valine biosynthesis,L-valine Biosynthesis (1 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,,,,,,,,,,,,,,,,,
