feature,MetaCyc_ID,L1...Terminal.Pathway,L2A,L3A ,L4A,L2B,L2C,L2D,L2E,L2F,L2G,L3B,L3C,L3D,L3E,L3F,L3G,L4B,L2C,L2D,L2E,L2F,L2G
PWY.6282,PWY-6282,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),Palmitoleate Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6317,PWY-6317,D-galactose degradation I (Leloir pathway),Galactose Degradation,Sugar Degradation,Carbohydrate Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6353,PWY-6353,purine nucleotides degradation II (aerobic),Purine Nucleotide Degradation,Nucleoside and Nucleotide Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6385,PWY-6385,peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis,Cell Wall Biosynthesis,Cell Structure Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6386,PWY-6386,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis,Cell Wall Biosynthesis,Cell Structure Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6387,PWY-6387,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis,Cell Wall Biosynthesis,Cell Structure Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6396,PWY-6396,"superpathway of 2,3-butanediol biosynthesis",Butanediol Biosynthesis,Other Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6467,PWY-6467,Kdo transfer to lipid IVA (Chlamydia),Lipopolysaccharide Biosynthesis ,Cell Structure Biosynthesis,Biosynthesis ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
PWY.6470,PWY-6470,peptidoglycan biosynthesis V (beta-lactam resistance),Antibiotic Resistance,Detoxification,NA,Peptidoglycan Biosynthesis (6 instances),Superpathways (382 instances),NA,NA,NA,NA,Cell Wall Biosynthesis (26 instances),NA,NA,NA,NA,NA,Cell Structure Biosynthesis (104 instances),NA,NA,NA,NA,NA
PWY.6471,PWY-6471,peptidoglycan biosynthesis IV (Enterococcus faecium),Antibiotic Resistance,Detoxification,NA,Peptidoglycan Biosynthesis (6 instances),Superpathways (382 instances),NA,NA,NA,NA,Cell Wall Biosynthesis (26 instances),NA,NA,NA,NA,NA,Cell Structure Biosynthesis (104 instances),NA,NA,NA,NA,NA
PWY.6478,PWY-6478,GDP-D-glycero-alpha-D-manno-heptose biosynthesis,GDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6507,PWY-6507,4-deoxy-L-threo-hex-4-enopyranuronate degradation,Sugar Derivative Degradation,Secondary Metabolite Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6519,PWY-6519,8-amino-7-oxononanoate biosynthesis I,8-Amino-7-oxononanoate Biosynthesis,Other Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6545,PWY-6545,pyrimidine deoxyribonucleotides de novo biosynthesis III,Metabolic Clusters,NA,NA,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),NA,NA,NA,NA,2'-Deoxyribonucleotide Biosynthesis (11 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),NA,NA,NA,NA,Nucleoside and Nucleotide Biosynthesis (57 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA
PWY.6572,PWY-6572,chondroitin sulfate degradation I (bacterial),Glycosaminoglycan Degradation,Polysaccharide Degradation,Carbohydrate Degradation,Glycosaminoglycan Degradation (7 instances),NA,NA,NA,NA,NA,Polysaccharide Degradation (47 instances),NA,NA,NA,NA,NA,Polymeric Compound Degradation (52 instances),NA,NA,NA,NA,NA
PWY.6588,PWY-6588,pyruvate fermentation to acetone,Fermentation of Pyruvate,Fermentation,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6590,PWY-6590,superpathway of Clostridium acetobutylicum acidogenic fermentation,Fermentation of Pyruvate,Fermentation,Generation of Precursor Metabolites and Energy,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6608,PWY-6608,guanosine nucleotides degradation III,Guanosine Nucleotide Degradation,Purine Nucleotide Degradation,Nucleoside and Nucleotide Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6609,PWY-6609,adenine and adenosine salvage III,Adenine and Adenosine Salvage,Purine Nucleotide Salvage,Purine Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6612,PWY-6612,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis,Single Carbon Carrier Biosynthesis,Carrier Biosynthesis,Folate Biosynthesis (14 instances),Superpathways (382 instances),NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
PWY.6628,PWY-6628,superpathway of L-phenylalanine biosynthesis,L-phenylalanine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6629,PWY-6629,superpathway of L-tryptophan biosynthesis,L-tryptophan Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6630,PWY-6630,superpathway of L-tyrosine biosynthesis,L-tyrosine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6690,PWY-6690,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate,Phenolic Compound Degradation,Aromatic Compound Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6700,PWY-6700,queuosine biosynthesis I (de novo),Queuosine Biosynthesis and Salvage,Nucleic Acid Processing,Macromolecule Modification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6703,PWY-6703,preQ0 biosynthesis,Secondary Metabolite Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6708,PWY-6708,ubiquinol-8 biosynthesis (early decarboxylation),Ubiquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6728,PWY-6728,methylaspartate cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6737,PWY-6737,starch degradation V,Starch Degradation,Polysaccharide Degradation,Carbohydrate Degradation,Starch Degradation (5 instances),NA,NA,NA,NA,NA,Polysaccharide Degradation (47 instances),NA,NA,NA,NA,NA,Polymeric Compound Degradation (52 instances),NA,NA,NA,NA,NA
PWY.6749,PWY-6749,CMP-legionaminate biosynthesis I,CMP-legionaminate biosynthesis,CMP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6891,PWY-6891,thiazole component of thiamine diphosphate biosynthesis II,Thiazole Biosynthesis,Thiamine Biosynthesis,Enzyme Cofactor Biosynthesis,Thiazole Biosynthesis (4 instances),NA,NA,NA,NA,NA,Thiamine Biosynthesis (20 instances),NA,NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA
PWY.6892,PWY-6892,thiazole component of thiamine diphosphate biosynthesis I,Thiazole Biosynthesis,Thiamine Biosynthesis,Enzyme Cofactor Biosynthesis,Thiazole Biosynthesis (4 instances),NA,NA,NA,NA,NA,Thiamine Biosynthesis (20 instances),NA,NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA
PWY.6895,PWY-6895,superpathway of thiamine diphosphate biosynthesis II,Superpathways,NA,NA,Thiamine Biosynthesis (20 instances),Thiamine Biosynthesis (20 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA
PWY.6897,PWY-6897,thiamine diphosphate salvage II,Superpathways,NA,NA,thiamine Diphosphate Salvage (7 instances),thiamine Diphosphate Salvage (7 instances),NA,NA,NA,NA,Thiamine Biosynthesis (20 instances),Thiamine Biosynthesis (20 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),Vitamin Biosynthesis (66 instances),NA,NA,NA,NA
PWY.6901,PWY-6901,superpathway of glucose and xylose degradation,Sugar Degradation,Carbohydrate Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6969,PWY-6969,TCA cycle V (2-oxoglutarate synthase),Reductive TCA Cycles,Autotrophic CO2 Fixation,CO2 Fixation,TCA cycle (9 instances),NA,NA,NA,NA,NA,Generation of Precursor Metabolites and Energy (240 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7003,PWY-7003,glycerol degradation to butanol,Fermentation to Alcohols,Fermentation,Generation of Precursor Metabolites and Energy,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7013,PWY-7013,"(S)-propane-1,2-diol degradation",Alcohol Degradation,Degradation/Utilization/Assimilation,NA,Fermentation to Propanoate (7 instances),NA,NA,NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),NA,NA,NA,NA,NA,Fermentation (81 instances),NA,NA,NA,NA,NA
PWY.7090,PWY-7090,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis",UDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7094,PWY-7094,fatty acid salvage,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7111,PWY-7111,pyruvate fermentation to isobutanol (engineered),Fermentation of Pyruvate,Fermentation,Generation of Precursor Metabolites and Energy,Fermentation to Alcohols (17 instances),NA,NA,NA,NA,NA,Fermentation (81 instances),NA,NA,NA,NA,NA,Generation of Precursor Metabolites and Energy (240 instances),NA,NA,NA,NA,NA
PWY.7184,PWY-7184,pyrimidine deoxyribonucleotides de novo biosynthesis I,Metabolic Clusters,NA,NA,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),NA,NA,NA,NA,2'-Deoxyribonucleotide Biosynthesis (11 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),NA,NA,NA,NA,Nucleoside and Nucleotide Biosynthesis (57 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA
PWY.7187,PWY-7187,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis,2'-Deoxyribonucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),NA,NA,NA,NA,NA,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),NA,NA,NA,NA,NA,Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA,NA
PWY.7196,PWY-7196,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage,Pyrimidine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7197,PWY-7197,pyrimidine deoxyribonucleotide phosphorylation,Metabolic Clusters,NA,NA,Pyrimidine Nucleotide Salvage (12 instances),NA,NA,NA,NA,NA,Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA,NA,Nucleoside and Nucleotide Biosynthesis (57 instances),NA,NA,NA,NA,NA
PWY.7198,PWY-7198,pyrimidine deoxyribonucleotides de novo biosynthesis IV,Metabolic Clusters,NA,NA,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),NA,NA,NA,NA,2'-Deoxyribonucleotide Biosynthesis (11 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),NA,NA,NA,NA,Nucleoside and Nucleotide Biosynthesis (57 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA
PWY.7199,PWY-7199,pyrimidine deoxyribonucleosides salvage,Pyrimidine Nucleotide Salvage,Pyrimidine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7200,PWY-7200,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage,Pyrimidine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7208,PWY-7208,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage,Pyrimidine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7210,PWY-7210,pyrimidine deoxyribonucleotides biosynthesis from CTP,Metabolic Clusters,NA,NA,Pyrimidine Nucleotide Salvage (12 instances),NA,NA,NA,NA,NA,Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA,NA,Nucleoside and Nucleotide Biosynthesis (57 instances),NA,NA,NA,NA,NA
PWY.7211,PWY-7211,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis,2'-Deoxyribonucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Superpathways (382 instances),NA,NA,NA,NA,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),NA,NA,NA,NA,NA,Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA,NA
PWY.7219,PWY-7219,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7220,PWY-7220,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis,Purine Deoxyribonucleotide De Novo Biosynthesis,2'-Deoxyribonucleotide Biosynthesis,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),NA,NA,NA,NA,NA,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),NA,NA,NA,NA,NA,Purine Nucleotide De Novo Biosynthesis (16 instances),NA,NA,NA,NA,NA
PWY.7221,PWY-7221,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7222,PWY-7222,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis,Purine Deoxyribonucleotide De Novo Biosynthesis,2'-Deoxyribonucleotide Biosynthesis,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),NA,NA,NA,NA,NA,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),NA,NA,NA,NA,NA,Purine Nucleotide De Novo Biosynthesis (16 instances),NA,NA,NA,NA,NA
PWY.7228,PWY-7228,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7229,PWY-7229,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7234,PWY-7234,inosine-5'-phosphate biosynthesis III,Inosine-5'-phosphate Biosynthesis,Purine Riboucleotide De Novo Biosynthesis,Purine Nucleotide De Novo Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7237,PWY-7237,"myo-, chiro- and scyllo-inositol degradation",Sugar Alcohol Degradation,Sugar Derivative Degradation,Secondary Metabolite Degradation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7242,PWY-7242,D-fructuronate degradation,Sugar Acid Degradation,Carboxylate Degradation,Degradation/Utilization/Assimilation,Sugar Acid Degradation (19 instances),NA,NA,NA,NA,NA,Sugar Derivative Degradation (56 instances),NA,NA,NA,NA,NA,Secondary Metabolite Degradation (127 instances),NA,NA,NA,NA,NA
PWY.7254,PWY-7254,TCA cycle VII (acetate-producers),TCA cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7315,PWY-7315,dTDP-N-acetylthomosamine biosynthesis,dTDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7323,PWY-7323,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,GDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7328,PWY-7328,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,Superpathways,NA,NA,UDP-sugar Biosynthesis (31 instances),NA,NA,NA,NA,NA,Sugar Nucleotide Biosynthesis (92 instances),NA,NA,NA,NA,NA,Sugar Biosynthesis (107 instances),NA,NA,NA,NA,NA
PWY.7332,PWY-7332,superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,Superpathways,NA,NA,UDP-sugar Biosynthesis (31 instances),NA,NA,NA,NA,NA,Sugar Nucleotide Biosynthesis (92 instances),NA,NA,NA,NA,NA,Sugar Biosynthesis (107 instances),NA,NA,NA,NA,NA
PWY.7371,PWY-7371,"1,4-dihydroxy-6-naphthoate biosynthesis II","1,4-dihydroxy-6-naphthoate biosynthesis",Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7374,PWY-7374,"1,4-dihydroxy-6-naphthoate biosynthesis I","1,4-dihydroxy-6-naphthoate biosynthesis",Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7377,PWY-7377,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis",Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7392,PWY-7392,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis,Terpenoid Biosynthesis,Secondary Metabolite Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7400,PWY-7400,L-arginine biosynthesis IV (archaea),L-arginine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7431,PWY-7431,aromatic biogenic amine degradation (bacteria),Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7446,PWY-7446,sulfoquinovose degradation I,Sulfoquinovose Degradation,Sugar Derivative Degradation,Secondary Metabolite Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7456,PWY-7456,"beta-(1,4)-mannan degradation",Polysaccharide Degradation,Carbohydrate Degradation,Degradation/Utilization/Assimilation,Polysaccharide Degradation (47 instances),NA,NA,NA,NA,NA,Polymeric Compound Degradation (52 instances),NA,NA,NA,NA,NA,Degradation/Utilization/Assimilation (1104 instances),NA,NA,NA,NA,NA
PWY.7527,PWY-7527,L-methionine salvage cycle III,L-methionine Salvage,L-methionine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7539,PWY-7539,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis,Folate Biosynthesis,Single Carbon Carrier Biosynthesis,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),NA,NA,NA,NA,NA,Folate Biosynthesis (14 instances),NA,NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA
PWY.7560,PWY-7560,methylerythritol phosphate pathway II,Methylerythritol Phosphate Pathways,Isopentenyl Diphosphate Biosynthesis,Hemiterpene Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7663,PWY-7663,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.7664,PWY-7664,oleate biosynthesis IV (anaerobic),Oleate Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.841,PWY-841,superpathway of purine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.922,PWY-922,mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways,Isopentenyl Diphosphate Biosynthesis,Hemiterpene Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1061,PWY0-1061,superpathway of L-alanine biosynthesis,L-alanine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1241,PWY0-1241,ADP-L-glycero-beta-D-manno-heptose biosynthesis,ADP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1261,PWY0-1261,anhydromuropeptides recycling I,Anhydromuropeptide Recycling,Sugar Derivative Degradation,Secondary Metabolite Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1277,PWY0-1277,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,Aromatic Compound Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1296,PWY0-1296,purine ribonucleosides degradation,Purine Nucleotide Degradation,Nucleoside and Nucleotide Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1297,PWY0-1297,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1298,PWY0-1298,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation,Nucleoside and Nucleotide Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1319,PWY0-1319,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis,Phospholipid Biosynthesis,Fatty Acid and Lipid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
